fold,k,rank,station,ratio_norm,ratio_asrun,n_products
r0f0,1,1,GARE10,1.714448009885795,1.8961534222418164,60
r0f0,1,2,GARE5,1.061945667988759,1.174495756640582,60
r0f0,1,3,GARE7,1.0247344189105694,1.1333406811418494,60
r0f0,2,1,GARE9,1.5413868016662349,1.7047503582056651,60
r0f0,2,2,GARE6,1.4308891236322325,1.5825416069657225,60
r0f0,2,3,GARE5,0.8884459769198573,0.9826077372423675,60
r0f1,1,1,GARE4,1.906022405574778,1.453180342384888,60
r0f1,1,2,GARE9,1.4752353069273392,1.12474173553719,60
r0f1,1,3,GARE11,1.059280408429916,0.8076114226682408,60
r0f1,2,1,GARE4,1.7104454499262018,1.3040695100354192,60
r0f1,2,2,GARE5,1.2201117859130393,0.9302317001180638,60
r0f1,2,3,GARE9,1.0739674320694912,0.8188090318772137,60
r0f2,1,1,GARE11,2.2545903844349215,1.1338388208088848,60
r0f2,1,2,GARE5,1.5917294879414432,0.8004845128915037,60
r0f2,1,3,GARE8,1.0892739841721668,0.5477984552218849,60
r0f2,2,1,GARE9,1.981294378929588,0.9963976151897938,60
r0f2,2,2,GARE7,1.505051768901123,0.7568940835942047,60
r0f2,2,3,GARE8,1.0550533329162626,0.5305888090106813,60
r0f3,1,1,GARE11,2.5186301005715297,0.7791025957295179,60
r0f3,1,2,GARE10,1.461432812015418,0.45207356851136143,60
r0f3,1,3,GARE5,0.9759425811882504,0.30189403283721183,60
r0f3,2,1,GARE10,2.188826370120952,0.6770824767700024,60
r0f3,2,2,GARE6,1.6559301758894156,0.5122385768714196,60
r0f3,2,3,GARE8,1.218466173408356,0.37691527560781735,60
r0f4,1,1,GARE6,2.3764797373196234,0.3275531471446436,60
r0f4,1,2,GARE10,1.5931910481292664,0.21959149645685702,60
r0f4,1,3,GARE7,1.2647541691869006,0.17432263443101292,60
r0f4,2,1,GARE8,1.8817074224488033,0.2593580658607753,60
r0f4,2,2,GARE7,1.867795731443878,0.25744060025010423,60
r0f4,2,3,GARE10,1.4500993692214637,0.1998689930328113,60
