family,fold,k,station,n_products,n_pos,total_pos_dev,gini_pos,top1_share,top2_share,top5_share,top10_share,top20_share
iscf480-temporal,r0f0,1,GARE5,60,11,11660.932177192157,0.5104712805076949,0.29261931646609635,0.5022447790731122,0.8474673459777046,0.99080967523712,1.0
iscf480-temporal,r0f0,1,GARE7,60,18,11671.225568113307,0.4592417403800473,0.19463737609107587,0.380389245182851,0.6136230018852257,0.8413476649569172,1.0000000000000002
iscf480-temporal,r0f0,1,GARE10,60,41,34149.69751049626,0.7045984051263497,0.2947194087384639,0.5651644989511838,0.6784769364975256,0.7912119109148371,0.9055599412952178
iscf480-temporal,r0f1,1,GARE4,60,41,51431.50199950761,0.710509570085584,0.2882901276166477,0.5485045162978318,0.6916081839702207,0.8001213571229558,0.9097824985672615
iscf480-temporal,r0f1,1,GARE9,60,26,33255.79879164531,0.44925050242838593,0.14805515110967293,0.2590111429789316,0.4510576946509199,0.7022147478696041,0.9641908632968733
iscf480-temporal,r0f1,1,GARE11,60,20,16344.337148256333,0.6640084960673729,0.22093011364901896,0.43100498989799013,0.7815500603233126,0.9425220805330913,0.9999999999999998
iscf480-temporal,r0f2,1,GARE5,60,28,45132.2614743416,0.673068321823468,0.4478940321948213,0.554813259770235,0.7077070029012382,0.8318905477135572,0.9564728488381905
iscf480-temporal,r0f2,1,GARE8,60,16,22465.19045407037,0.557236784142744,0.24657902307754595,0.4873762628513777,0.7072349563092918,0.9562998799799406,1.0
iscf480-temporal,r0f2,1,GARE11,60,39,84638.56951702602,0.6107781365488298,0.2599664369318841,0.34635907533166455,0.511776318034934,0.693319821135184,0.9078949023357066
iscf480-temporal,r0f3,1,GARE10,60,18,54834.10419065373,0.3765444981097829,0.17152179441869803,0.28524913679133385,0.5237234447073402,0.8177040374791928,1.0
iscf480-temporal,r0f3,1,GARE11,60,41,116497.00279620592,0.7008827367433398,0.29191548484326546,0.5608333897773737,0.6779072628855253,0.7937529080595686,0.9020726025395395
iscf480-temporal,r0f4,1,GARE6,60,35,124649.01893943892,0.649189906997196,0.32194652735824875,0.43633501115558115,0.6030434218287161,0.7772973648760756,0.929915103488173
iscf480-temporal,r0f4,1,GARE7,60,19,50557.974311752194,0.5075221235397226,0.19988386920478568,0.3976440985229228,0.6201785539782956,0.8556633652983388,1.0
iscf480-temporal,r0f4,1,GARE10,60,19,72531.61201478084,0.7116195608475937,0.5031107295017092,0.6199064312404438,0.824210152104565,0.9315529819656513,1.0
iscf10kt-temporal,r0f0,1,GARE4,541,167,1085.5023372287146,0.8611210301512817,0.33573679142574026,0.4329228184053942,0.6277190391683747,0.735257473709886,0.8289395876046708
iscf10kt-temporal,r0f0,1,GARE5,541,178,1508.3500834724541,0.822617981108417,0.2632716684429039,0.3355380515609434,0.466430223650935,0.6096681389752782,0.7588378638357848
iscf10kt-temporal,r0f1,1,GARE5,541,155,1616.8592851273618,0.7994446866172754,0.3060277572837874,0.39759386222947896,0.5299287715425652,0.6650324976740188,0.7678397981621096
iscf10kt-temporal,r0f1,1,GARE11,541,156,2165.2688989317994,0.8096455017604562,0.23211301823656103,0.29956352285544685,0.46725823722889054,0.6203724689719083,0.774551922394028
iscf10kt-temporal,r0f2,1,GARE7,541,153,3567.341318977119,0.8449692814196312,0.20816313810806322,0.39606998527768705,0.5470310781832466,0.6864762301159925,0.8327636998211606
iscf10kt-temporal,r0f3,1,GARE6,541,125,1983.829182192587,0.7949674304251522,0.16155787948153066,0.31097246861142924,0.571575728247959,0.7298182154298163,0.8161000717212961
iscf10kt-temporal,r0f3,1,GARE8,541,134,3664.214944106687,0.8524869875042991,0.29937782570513377,0.39084530411106255,0.5469229759719528,0.7213277233492573,0.8686897848364298
iscf10kt-temporal,r0f3,1,GARE11,541,112,2849.8497744655815,0.8380729426735957,0.35528529147671,0.44630305000542275,0.5930914770403148,0.7500108730180141,0.8625549362675985
iscf10kt-temporal,r0f4,1,GARE5,541,65,2135.770674079222,0.7308534629268132,0.21634073822450503,0.34500844999664865,0.6225679009453453,0.7289174698556048,0.8608366570420652
iscf10kt-temporal,r0f4,1,GARE6,541,42,3598.5448227936067,0.8265879577128856,0.5290007967856669,0.6231203795217972,0.7933584844155598,0.8946414136205932,0.969887642792836
iscf10kt-temporal,r0f4,1,GARE8,541,56,5848.760250173731,0.7548681045952613,0.28799460479736744,0.397172247499693,0.580695872779297,0.7647561904983696,0.9161221125602191
