family,fold,k,viol_asrun,stored_wl_broken,viol_norm,max_ratio_asrun,max_ratio_norm,imbalance,B,X,tot_te_lines,tot_tr_lines,lam,Tn,Tn_equiv,T_s_stored,train_viol
iscf480-temporal,r0f0,1,4,4,3,1.8961534222418164,1.714448009885795,1.8859059666969953,1.0054337043976633,0.11015588174035057,364892.0,329920.0,0.904157942624119,50173,45365,45365.0,0
iscf480-temporal,r0f0,2,2,2,2,1.7047503582056651,1.5413868016662349,1.6955373096697104,1.0054337043976633,0.1336888723238657,364892.0,329920.0,0.904157942624119,50173,45365,45365.0,0
iscf480-temporal,r0f1,1,2,2,3,1.453180342384888,1.906022405574778,2.096628450897283,0.6931034164698937,0.19807435107494328,300574.0,394238.0,1.3116171059373065,41329,54208,54208.0,0
iscf480-temporal,r0f1,2,1,1,4,1.3040695100354192,1.7104454499262018,1.8814934092769169,0.6931034164698937,0.14748115272778084,300574.0,394238.0,1.3116171059373065,41329,54208,54208.0,0
iscf480-temporal,r0f2,1,1,1,3,1.1338388208088848,2.2545903844349215,2.480100818505185,0.4571744875646935,0.26614967074843976,232497.0,462315.0,1.9884772706744602,31969,63569,63569.0,0
iscf480-temporal,r0f2,2,0,0,3,0.9963976151897938,1.981294378929588,2.1794689823954716,0.4571744875646935,0.21194682081919336,232497.0,462315.0,1.9884772706744602,31969,63569,63569.0,0
iscf480-temporal,r0f3,1,0,0,2,0.7791025957295179,2.5186301005715297,2.7705222630383,0.281211454650111,0.27226151531212117,164151.0,530661.0,3.232761299047828,22571,72966,72966.0,0
iscf480-temporal,r0f3,2,0,0,3,0.6770824767700024,2.188826370120952,2.4077343421605715,0.281211454650111,0.28369610907030723,164151.0,530661.0,3.232761299047828,22571,72966,72966.0,0
iscf480-temporal,r0f4,1,0,0,3,0.3275531471446436,2.3764797373196234,2.614260423226358,0.1252947656761746,0.3072490286705559,84163.0,610649.0,7.255551727005929,11573,83965,83965.0,0
iscf480-temporal,r0f4,2,0,0,3,0.2593580658607753,1.8817074224488033,2.06998324679491,0.1252947656761746,0.3024607012582726,84163.0,610649.0,7.255551727005929,11573,83965,83965.0,0
iscf10kt-temporal,r0f0,1,2,2,2,1.2941176470588236,1.4951456310679612,1.6454090150250418,0.7865021008403361,0.10626043405676126,11980.0,13842.0,1.1554257095158598,1648,1904,1904.0,0
iscf10kt-temporal,r0f0,2,2,2,2,1.2694327731092436,1.466626213592233,1.6140233722871453,0.7865021008403361,0.11769616026711185,11980.0,13842.0,1.1554257095158598,1648,1904,1904.0,0
iscf10kt-temporal,r0f1,1,1,1,2,1.0230560578661845,1.690067214339059,1.8594905505341002,0.5501808318264014,0.15632703368940015,9736.0,16086.0,1.6522185702547247,1339,2212,2212.0,0
iscf10kt-temporal,r0f1,2,0,0,2,0.9272151898734177,1.5317401045556385,1.685291700903862,0.5501808318264014,0.11750205423171733,9736.0,16086.0,1.6522185702547247,1339,2212,2212.0,0
iscf10kt-temporal,r0f2,1,0,0,1,0.8679319889284303,2.147749510763209,2.363391655450875,0.36724001581652826,0.1578734858681023,7430.0,18392.0,2.4753701211305517,1022,2529,2529.0,0
iscf10kt-temporal,r0f2,2,0,0,2,0.6706207987346777,1.659491193737769,1.8261103633916556,0.36724001581652826,0.1414535666218035,7430.0,18392.0,2.4753701211305517,1022,2529,2529.0,0
iscf10kt-temporal,r0f3,1,0,0,3,0.4747368421052632,1.9273504273504274,2.1227691704255736,0.22364035087719297,0.24632280839380272,5099.0,20723.0,4.064130221612081,702,2850,2850.0,0
iscf10kt-temporal,r0f3,2,0,0,1,0.5817543859649122,2.3618233618233617,2.6012943714453813,0.22364035087719297,0.18748774269464602,5099.0,20723.0,4.064130221612081,702,2850,2850.0,0
iscf10kt-temporal,r0f4,1,0,0,3,0.2950871632329635,2.351010101010101,2.5879082696316886,0.11402535657686212,0.2543432939541348,2878.0,22944.0,7.9722029186935375,396,3155,3155.0,0
iscf10kt-temporal,r0f4,2,0,0,2,0.3305863708399366,2.6338383838383836,2.8992355802640724,0.11402535657686212,0.3683113273106324,2878.0,22944.0,7.9722029186935375,396,3155,3155.0,0
