size_n,method,n_instances,mean_visits,std_visits,ci95_lo,ci95_hi,t_mult,df,min_visits,max_visits,ci_informative,mean_rel_rank_pct,rel_rank_ci95_lo,rel_rank_ci95_hi,frac_instances_wl_broken,mean_wl_broken,ga_seed_std_n50
50,Heuristic,12,7700.166666666667,1159.0521859247624,6963.740041698664,8436.59329163467,2.200985160082949,11.0,5824.0,9504.0,True,1.822974361733583,0.670014056895766,2.9759346665714,1.0,2.0,
50,SA-C,12,7656.75,1168.93472288389,6914.0443106142675,8399.455689385733,2.200985160082949,11.0,5903.0,9582.0,True,1.2520129852757675,-0.4169938031832048,2.9210197737347396,0.0,0.0,
50,GA,12,7767.416666666667,1173.9503983894667,7021.524169103217,8513.309164230117,2.200985160082949,11.0,6081.0,9631.0,True,2.7321425608903476,1.201540206382358,4.262744915398337,0.0,0.0,79.01759494104935
500,Heuristic,10,78655.0,11378.829846107494,70515.07548792777,86794.92451207223,2.2621571627409915,9.0,58913.0,95701.0,True,0.0,0.0,0.0,0.8,1.0,
500,SA-C,10,88372.3,13189.683359437491,78936.96892149867,97807.63107850133,2.2621571627409915,9.0,66421.0,105594.0,True,12.29882073760719,10.65853844352148,13.939103031692902,0.0,0.0,
500,GA,10,84416.8,12661.951374974642,75358.98564107623,93474.61435892378,2.2621571627409915,9.0,63361.0,102346.0,True,7.254078732053839,6.303818249419957,8.204339214687721,0.0,0.0,79.01759494104935
1000,Heuristic,4,196154.75,28019.466903981836,151569.52553769416,240739.97446230584,3.182446305284263,3.0,162378.0,230511.0,True,0.0,0.0,0.0,1.0,3.25,
1000,SA-C,4,241450.5,28998.792084039178,195306.9506372215,287594.0493627785,3.182446305284263,3.0,210758.0,280598.0,True,23.47878807346209,15.12912146280883,31.82845468411535,0.25,0.25,
1000,GA,4,232543.0,31355.757185350612,182648.99319804524,282437.00680195476,3.182446305284263,3.0,197649.0,273883.0,True,18.706079872445706,13.514304773863033,23.89785497102838,0.0,0.0,79.01759494104935
2000,Heuristic,3,483130.6666666667,77294.31395861751,291120.946450974,675140.3868823594,4.302652729911275,2.0,411517.0,565068.0,False,0.0,0.0,0.0,1.0,5.666666666666667,
2000,SA-C,3,614093.6666666666,109770.41521891649,341408.83857660874,886778.4947567245,4.302652729911275,2.0,528037.0,737715.0,False,26.935184677181912,15.829813664466876,38.04055568989695,0.0,0.0,
2000,GA,3,608268.6666666666,110142.81191404791,334658.75390246685,881878.5794308664,4.302652729911275,2.0,520733.0,731940.0,False,25.692963524340485,14.950454414948249,36.43547263373272,0.0,0.0,79.01759494104935
