STATION_ID;CAPACITY;TIME_CAPACITY;SPEED
1;1282;1321;51.346499
2;2134;2199;30.83558
3;1505;1551;43.730887
4;1642;1692;40.084093
5;1912;1970;34.416366
6;133;94;723.478261
7;99;71;967.44186
8;113;80;848.979592
9;336;238;284.931507
10;339;240;282.993197
11;273;194;351.054852
12;10;7;10400.0
13;52;37;1848.888889
14;747;529;128.197227
15;110;78;875.789474
16;134;95;717.241379
17;128;91;749.54955
18;151;107;635.114504
19;164;116;585.915493
20;127;90;756.363636
21;565;401;169.450102
22;1803;2818;24.058711
23;4347;6798;9.973545
24;6420;10038;6.753852
25;2;1;83200.0
