STATION_ID;CAPACITY;TIME_CAPACITY;SPEED
1;100;53604;0.7186359491275408
2;100;34884;1.045550573414253
3;100;47594;0.7800828307601358
4;100;28976;1.3297751267688311
5;100;25585;1.4971305401038624
6;100;29176;1.228452409591711
7;100;26892;1.4284714233888902
8;100;37571;0.9513005000310853
9;100;39917;0.8518794264289195
10;100;41512;0.9037157189794178
11;100;25401;1.4294169126239828
12;100;48376;0.8217221747945755
13;100;25535;1.4649122164938086
14;100;39731;0.9680632840628589
15;100;31600;1.2648490828691288
16;100;25117;1.477541272133986
17;100;29689;1.297994414751497
18;100;57712;0.6315487771246534
19;100;27945;1.3603275710737786
20;100;42241;0.8817221526266483
