STATION_ID;CAPACITY;TIME_CAPACITY;SPEED
1;100;45100;1.0
2;100;45100;1.0
3;100;45100;1.0
4;100;45100;1.0
5;100;45100;1.0
6;100;45100;1.0
7;100;45100;1.0
8;100;45100;1.0
9;100;45100;1.0
10;100;45100;1.0
11;100;45100;1.0
12;100;45100;1.0
13;100;45100;1.0
14;100;45100;1.0
15;100;45100;1.0
16;100;45100;1.0
17;100;45100;1.0
18;100;45100;1.0
19;100;45100;1.0
20;100;45100;1.0
21;100;45100;1.0
22;100;45100;1.0
23;100;45100;1.0
24;100;45100;1.0
25;100;45100;1.0
26;100;45100;1.0
27;100;45100;1.0
28;100;45100;1.0
29;100;45100;1.0
30;100;45100;1.0
31;100;45100;1.0
32;100;45100;1.0
33;100;45100;1.0
34;100;45100;1.0
35;100;45100;1.0
36;100;45100;1.0
37;100;45100;1.0
38;100;45100;1.0
39;100;45100;1.0
40;100;45100;1.0
41;100;45100;1.0
42;100;45100;1.0
43;100;45100;1.0
44;100;45100;1.0
45;100;45100;1.0
46;100;45100;1.0
47;100;45100;1.0
48;100;45100;1.0
49;100;45100;1.0
50;100;45100;1.0
