source_csv,k,arm,regime,orders,capacity,N,V,PoR_pct,G_pct,cap_broken,wl_broken,real_cap_broken,real_wl_broken,real_wl_max_ratio,c_bar,feasibility_check_semantics,capacity_semantics,deployability
berner_decompose_result.csv,1,A_baseline,,nominal,real,466526,130072,0.0,0.0,0.0,0.0,,,,1.0,"wl_broken/cap_broken recomputed for EVERY arm against the REAL train stations with TEST demand = te.groupby('PRODUCT').size() (raw order-lines, duplicates counted; berner_decompose.py:127,139-140,178-179). Test window is ~3 weeks vs the 10-week train calibration of T_s, so this check is volume-slack (see bindingness B_agg).",REAL per-station heterogeneous T_s enforced HARD by Hexaly on train REAL_LINES (kappa-invariant).,DEPLOYABLE by construction (placed under the real contract).
berner_decompose_result.csv,2,B_preproc,,closures,real,481172,134513,3.139,-3.414,0.0,0.0,,,,1.4875345430376623,"wl_broken/cap_broken recomputed for EVERY arm against the REAL train stations with TEST demand = te.groupby('PRODUCT').size() (raw order-lines, duplicates counted; berner_decompose.py:127,139-140,178-179). Test window is ~3 weeks vs the 10-week train calibration of T_s, so this check is volume-slack (see bindingness B_agg).",REAL per-station T_s enforced HARD; only the ORDERS are enlarged to closures (preprocess-only arm).,DEPLOYABLE by construction (placed under the real contract).
berner_decompose_result.csv,2,C_v2full,,closures,recal,477250,134123,2.299,-3.114,0.0,0.0,,,,1.4875345430376623,"wl_broken/cap_broken recomputed for EVERY arm against the REAL train stations with TEST demand = te.groupby('PRODUCT').size() (raw order-lines, duplicates counted; berner_decompose.py:127,139-140,178-179). Test window is ~3 weeks vs the 10-week train calibration of T_s, so this check is volume-slack (see bindingness B_agg).",RECALIBRATED flat loose T_s (eq.10 average from closure line counts) handed to Hexaly; workload SIGNAL still real REAL_LINES.,NOT guaranteed deployable (placed under a loosened contract); as-run recheck vs real stations happened to pass on test demand.
berner_decompose_result.csv,2,D_caponly,,nominal,recal,462887,129961,-0.78,0.085,0.0,0.0,,,,1.4875345430376623,"wl_broken/cap_broken recomputed for EVERY arm against the REAL train stations with TEST demand = te.groupby('PRODUCT').size() (raw order-lines, duplicates counted; berner_decompose.py:127,139-140,178-179). Test window is ~3 weeks vs the 10-week train calibration of T_s, so this check is volume-slack (see bindingness B_agg).",RECALIBRATED flat loose T_s (eq.10) with NOMINAL orders (capacity-only control); workload SIGNAL real REAL_LINES.,NOT guaranteed deployable (placed under a loosened contract); as-run recheck vs real stations happened to pass on test demand.
berner_decompose_result.csv,3,B_preproc,,closures,real,481756,134826,3.265,-3.655,0.0,0.0,,,,1.8187486465394316,"wl_broken/cap_broken recomputed for EVERY arm against the REAL train stations with TEST demand = te.groupby('PRODUCT').size() (raw order-lines, duplicates counted; berner_decompose.py:127,139-140,178-179). Test window is ~3 weeks vs the 10-week train calibration of T_s, so this check is volume-slack (see bindingness B_agg).",REAL per-station T_s enforced HARD; only the ORDERS are enlarged to closures (preprocess-only arm).,DEPLOYABLE by construction (placed under the real contract).
berner_decompose_result.csv,3,C_v2full,,closures,recal,467937,130442,0.302,-0.284,0.0,0.0,,,,1.8187486465394316,"wl_broken/cap_broken recomputed for EVERY arm against the REAL train stations with TEST demand = te.groupby('PRODUCT').size() (raw order-lines, duplicates counted; berner_decompose.py:127,139-140,178-179). Test window is ~3 weeks vs the 10-week train calibration of T_s, so this check is volume-slack (see bindingness B_agg).",RECALIBRATED flat loose T_s (eq.10 average from closure line counts) handed to Hexaly; workload SIGNAL still real REAL_LINES.,NOT guaranteed deployable (placed under a loosened contract); as-run recheck vs real stations happened to pass on test demand.
berner_decompose_result.csv,3,D_caponly,,nominal,recal,450709,125690,-3.39,3.369,0.0,0.0,,,,1.8187486465394316,"wl_broken/cap_broken recomputed for EVERY arm against the REAL train stations with TEST demand = te.groupby('PRODUCT').size() (raw order-lines, duplicates counted; berner_decompose.py:127,139-140,178-179). Test window is ~3 weeks vs the 10-week train calibration of T_s, so this check is volume-slack (see bindingness B_agg).",RECALIBRATED flat loose T_s (eq.10) with NOMINAL orders (capacity-only control); workload SIGNAL real REAL_LINES.,NOT guaranteed deployable (placed under a loosened contract); as-run recheck vs real stations happened to pass on test demand.
berner_decompose_result.csv,4,B_preproc,,closures,real,478733,132874,2.617,-2.154,0.0,0.0,,,,2.071667013969756,"wl_broken/cap_broken recomputed for EVERY arm against the REAL train stations with TEST demand = te.groupby('PRODUCT').size() (raw order-lines, duplicates counted; berner_decompose.py:127,139-140,178-179). Test window is ~3 weeks vs the 10-week train calibration of T_s, so this check is volume-slack (see bindingness B_agg).",REAL per-station T_s enforced HARD; only the ORDERS are enlarged to closures (preprocess-only arm).,DEPLOYABLE by construction (placed under the real contract).
berner_decompose_result.csv,4,C_v2full,,closures,recal,457122,127405,-2.016,2.05,0.0,0.0,,,,2.071667013969756,"wl_broken/cap_broken recomputed for EVERY arm against the REAL train stations with TEST demand = te.groupby('PRODUCT').size() (raw order-lines, duplicates counted; berner_decompose.py:127,139-140,178-179). Test window is ~3 weeks vs the 10-week train calibration of T_s, so this check is volume-slack (see bindingness B_agg).",RECALIBRATED flat loose T_s (eq.10 average from closure line counts) handed to Hexaly; workload SIGNAL still real REAL_LINES.,NOT guaranteed deployable (placed under a loosened contract); as-run recheck vs real stations happened to pass on test demand.
berner_decompose_result.csv,4,D_caponly,,nominal,recal,442113,123835,-5.233,4.795,0.0,0.0,,,,2.071667013969756,"wl_broken/cap_broken recomputed for EVERY arm against the REAL train stations with TEST demand = te.groupby('PRODUCT').size() (raw order-lines, duplicates counted; berner_decompose.py:127,139-140,178-179). Test window is ~3 weeks vs the 10-week train calibration of T_s, so this check is volume-slack (see bindingness B_agg).",RECALIBRATED flat loose T_s (eq.10) with NOMINAL orders (capacity-only control); workload SIGNAL real REAL_LINES.,NOT guaranteed deployable (placed under a loosened contract); as-run recheck vs real stations happened to pass on test demand.
berner_decompose_result.csv,6,B_preproc,,closures,real,470386,131287,0.827,-0.934,0.0,0.0,,,,2.4298291132603045,"wl_broken/cap_broken recomputed for EVERY arm against the REAL train stations with TEST demand = te.groupby('PRODUCT').size() (raw order-lines, duplicates counted; berner_decompose.py:127,139-140,178-179). Test window is ~3 weeks vs the 10-week train calibration of T_s, so this check is volume-slack (see bindingness B_agg).",REAL per-station T_s enforced HARD; only the ORDERS are enlarged to closures (preprocess-only arm).,DEPLOYABLE by construction (placed under the real contract).
