rho,k,n_folds,mean_c_bar,mean_PoR,PoR_lo95,PoR_hi95,mean_G,G_lo95,G_hi95,wilcoxon_p_Vte,mean_N_train,mean_V_test,cap_broken_any,wl_broken_any
0.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,561.0,4875.8,0,36
0.0,2,5,1.0,0.02367,0.00775,0.03959,-0.06057,-0.15747,0.03632,0.0625,574.2,5057.6,0,39
0.0,3,5,1.0,0.0293,0.02209,0.0365,-0.06164,-0.17907,0.05579,0.125,577.4,5080.6,0,39
0.0,4,5,1.0,0.02242,-0.00389,0.04874,-0.03513,-0.10269,0.03243,0.1875,573.4,4996.6,0,38
0.0,6,5,1.0,0.04961,0.04252,0.05669,-0.07191,-0.12725,-0.01658,0.0625,588.8,5144.0,0,37
0.5,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,561.0,5361.4,0,36
0.5,2,5,1.0,0.02367,0.00775,0.03959,-0.04445,-0.12999,0.04109,0.0625,574.2,5491.0,0,39
0.5,3,5,1.0,0.0293,0.02209,0.0365,-0.03601,-0.11647,0.04445,0.3125,577.4,5491.2,0,39
0.5,4,5,1.0,0.02242,-0.00389,0.04874,-0.0293,-0.09233,0.03373,0.3125,573.4,5449.0,0,38
0.5,6,5,1.0,0.04961,0.04252,0.05669,-0.04423,-0.09496,0.0065,0.125,588.8,5515.2,0,37
1.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,561.0,5461.0,0,36
1.0,2,5,1.0,0.02367,0.00775,0.03959,-0.0395,-0.12152,0.04252,0.0625,574.2,5574.8,0,39
1.0,3,5,1.0,0.0293,0.02209,0.0365,-0.03538,-0.11257,0.04181,0.3125,577.4,5590.4,0,39
1.0,4,5,1.0,0.02242,-0.00389,0.04874,-0.02729,-0.09092,0.03634,0.3125,573.4,5539.2,0,38
1.0,6,5,1.0,0.04961,0.04252,0.05669,-0.03775,-0.08082,0.00532,0.125,588.8,5596.4,0,37
2.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,561.0,5504.2,0,36
2.0,2,5,1.0,0.02367,0.00775,0.03959,-0.03939,-0.11612,0.03734,0.0625,574.2,5619.2,0,39
2.0,3,5,1.0,0.0293,0.02209,0.0365,-0.03136,-0.11283,0.0501,0.3125,577.4,5608.4,0,39
2.0,4,5,1.0,0.02242,-0.00389,0.04874,-0.02822,-0.09044,0.03401,0.1875,573.4,5586.4,0,38
2.0,6,5,1.0,0.04961,0.04252,0.05669,-0.03449,-0.0823,0.01332,0.1875,588.8,5619.6,0,37
