rho,k,n_folds,mean_c_bar,mean_PoR,PoR_lo95,PoR_hi95,mean_G,G_lo95,G_hi95,wilcoxon_p_Vte,mean_N_train,mean_V_test,cap_broken_any,wl_broken_any
0.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,561.0,4875.8,0,36
0.0,2,5,1.0,0.02367,0.00775,0.03959,-0.06057,-0.15747,0.03632,0.0625,574.2,5057.6,0,39
0.0,3,5,1.0,0.0293,0.02209,0.0365,-0.06164,-0.17907,0.05579,0.125,577.4,5080.6,0,39
0.0,4,5,1.0,0.02242,-0.00389,0.04874,-0.03513,-0.10269,0.03243,0.1875,573.4,4996.6,0,38
0.0,6,5,1.0,0.04961,0.04252,0.05669,-0.07191,-0.12725,-0.01658,0.0625,588.8,5144.0,0,37
0.25,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,561.0,5267.8,0,36
0.25,2,5,1.0,0.02367,0.00775,0.03959,-0.03858,-0.09743,0.02027,0.0625,574.2,5393.2,0,39
0.25,3,5,1.0,0.0293,0.02209,0.0365,-0.0434,-0.12097,0.03418,0.125,577.4,5426.4,0,39
0.25,4,5,1.0,0.02242,-0.00389,0.04874,-0.02617,-0.07349,0.02114,0.125,573.4,5361.0,0,38
0.25,6,5,1.0,0.04961,0.04252,0.05669,-0.04517,-0.077,-0.01334,0.0625,588.8,5454.2,0,37
0.5,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,561.0,5497.2,0,36
0.5,2,5,1.0,0.02367,0.00775,0.03959,-0.02527,-0.07799,0.02745,0.125,574.2,5571.4,0,39
0.5,3,5,1.0,0.0293,0.02209,0.0365,-0.02399,-0.07949,0.03151,0.3125,577.4,5582.2,0,39
0.5,4,5,1.0,0.02242,-0.00389,0.04874,-0.02143,-0.06265,0.0198,0.125,573.4,5569.6,0,38
0.5,6,5,1.0,0.04961,0.04252,0.05669,-0.02816,-0.0626,0.00628,0.125,588.8,5596.0,0,37
1.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,561.0,5675.4,0,36
1.0,2,5,1.0,0.02367,0.00775,0.03959,-0.02509,-0.08051,0.03033,0.1875,574.2,5741.0,0,39
1.0,3,5,1.0,0.0293,0.02209,0.0365,-0.02054,-0.07168,0.03059,0.3125,577.4,5741.0,0,39
1.0,4,5,1.0,0.02242,-0.00389,0.04874,-0.01923,-0.06514,0.02668,0.25,573.4,5727.0,0,38
1.0,6,5,1.0,0.04961,0.04252,0.05669,-0.01971,-0.05024,0.01083,0.125,588.8,5737.2,0,37
2.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,561.0,5778.2,0,36
2.0,2,5,1.0,0.02367,0.00775,0.03959,-0.02398,-0.07493,0.02697,0.1875,574.2,5837.8,0,39
2.0,3,5,1.0,0.0293,0.02209,0.0365,-0.01464,-0.06337,0.03409,0.8125,577.4,5804.6,0,39
2.0,4,5,1.0,0.02242,-0.00389,0.04874,-0.01953,-0.06264,0.02358,0.125,573.4,5831.8,0,38
2.0,6,5,1.0,0.04961,0.04252,0.05669,-0.01568,-0.04135,0.00999,0.1875,588.8,5826.0,0,37
