size_n,instance_seed,config_id,hash_seed,min_freq_preproc,min_freq,ratio_to_keep,mnoppc,visits,time_s,cap_broken,wl_broken,n_pstar,n_pairs_kept,n_corr_communities,n_assigned,community_size_max,status
2000,1001,base,0,20.0,40.0,0.1,15.0,415517.0,188.0815737247467,0.0,0.0,2000.0,2341.0,157.0,2000.0,15.0,OK
2000,1001,preproc_x0.75,0,15.0,40.0,0.1,15.0,415517.0,260.2914674282074,0.0,0.0,2000.0,2341.0,157.0,2000.0,15.0,OK
2000,1001,preproc_x1.5,0,30.0,40.0,0.1,15.0,415517.0,214.4340102672577,0.0,0.0,2000.0,2341.0,157.0,2000.0,15.0,OK
2000,1001,preproc_x2,0,40.0,40.0,0.1,15.0,415517.0,196.75747656822205,0.0,0.0,2000.0,2341.0,157.0,2000.0,15.0,OK
2000,1001,minfreq_x0.5,0,20.0,20.0,0.1,15.0,415517.0,257.2047779560089,0.0,0.0,2000.0,2341.0,157.0,2000.0,15.0,OK
2000,1001,minfreq_x0.75,0,20.0,30.0,0.1,15.0,415517.0,206.75885319709775,0.0,0.0,2000.0,2341.0,157.0,2000.0,15.0,OK
2000,1001,minfreq_x1.5,0,20.0,60.0,0.1,15.0,415517.0,202.9451606273651,0.0,0.0,2000.0,2341.0,157.0,2000.0,15.0,OK
2000,1001,minfreq_x2,0,20.0,80.0,0.1,15.0,415517.0,181.5362846851349,0.0,0.0,2000.0,2341.0,157.0,2000.0,15.0,OK
2000,1001,ratio_x0.5,0,20.0,40.0,0.05,15.0,415517.0,190.49924302101132,0.0,0.0,2000.0,2341.0,157.0,2000.0,15.0,OK
2000,1001,ratio_x0.75,0,20.0,40.0,0.075,15.0,415517.0,216.4438674449921,0.0,0.0,2000.0,2341.0,157.0,2000.0,15.0,OK
2000,1001,ratio_x1.5,0,20.0,40.0,0.15,15.0,415517.0,145.56443619728088,0.0,0.0,2000.0,2341.0,157.0,2000.0,15.0,OK
2000,1001,ratio_x2,0,20.0,40.0,0.2,15.0,414688.0,67.62231397628784,0.0,0.0,2000.0,2230.0,153.0,2000.0,15.0,OK
2000,1001,mnoppc_x0.5,0,20.0,40.0,0.1,8.0,424129.0,46.02253746986389,0.0,0.0,2000.0,2341.0,206.0,2000.0,8.0,OK
2000,1001,mnoppc_x0.75,0,20.0,40.0,0.1,11.0,415621.0,58.7248272895813,0.0,0.0,2000.0,2341.0,176.0,2000.0,11.0,OK
2000,1001,mnoppc_x1.5,0,20.0,40.0,0.1,22.0,409022.0,61.56185579299927,0.0,0.0,2000.0,2341.0,135.0,2000.0,22.0,OK
2000,1001,mnoppc_x2,0,20.0,40.0,0.1,30.0,406898.0,38.37493300437927,0.0,0.0,2000.0,2341.0,124.0,2000.0,30.0,OK
2000,1001,corner_loose,0,10.0,20.0,0.05,8.0,424129.0,38.31832265853882,0.0,0.0,2000.0,2341.0,206.0,2000.0,8.0,OK
2000,1001,corner_tight,0,40.0,80.0,0.2,30.0,411645.0,52.2360634803772,0.0,0.0,2000.0,2230.0,120.0,2000.0,30.0,OK
2000,1001,base,1,20.0,40.0,0.1,15.0,415517.0,100.73660445213318,0.0,0.0,2000.0,2341.0,157.0,2000.0,15.0,OK
2000,1001,base,2,20.0,40.0,0.1,15.0,415517.0,78.93257188796997,0.0,0.0,2000.0,2341.0,157.0,2000.0,15.0,OK
2000,1001,base,3,20.0,40.0,0.1,15.0,415517.0,61.49717855453491,0.0,0.0,2000.0,2341.0,157.0,2000.0,15.0,OK
2000,1001,base,4,20.0,40.0,0.1,15.0,415517.0,60.805996894836426,0.0,0.0,2000.0,2341.0,157.0,2000.0,15.0,OK
2000,1002,base,0,20.0,40.0,0.1,15.0,562986.0,65.12391662597656,0.0,0.0,2000.0,1565.0,135.0,2000.0,15.0,OK
2000,1002,preproc_x0.5,0,10.0,40.0,0.1,15.0,562986.0,80.90190362930298,0.0,0.0,2000.0,1565.0,135.0,2000.0,15.0,OK
2000,1002,preproc_x0.75,0,15.0,40.0,0.1,15.0,562986.0,73.30007481575012,0.0,0.0,2000.0,1565.0,135.0,2000.0,15.0,OK
2000,1002,preproc_x1.5,0,30.0,40.0,0.1,15.0,562986.0,66.08180952072144,0.0,0.0,2000.0,1565.0,135.0,2000.0,15.0,OK
2000,1002,preproc_x2,0,40.0,40.0,0.1,15.0,562986.0,87.73177218437195,0.0,0.0,2000.0,1565.0,135.0,2000.0,15.0,OK
2000,1002,minfreq_x0.5,0,20.0,20.0,0.1,15.0,562986.0,71.71213889122009,0.0,0.0,2000.0,1565.0,135.0,2000.0,15.0,OK
2000,1002,minfreq_x0.75,0,20.0,30.0,0.1,15.0,562986.0,77.35417819023132,0.0,0.0,2000.0,1565.0,135.0,2000.0,15.0,OK
2000,1002,minfreq_x1.5,0,20.0,60.0,0.1,15.0,562986.0,69.17515397071838,0.0,0.0,2000.0,1565.0,135.0,2000.0,15.0,OK
2000,1002,minfreq_x2,0,20.0,80.0,0.1,15.0,562986.0,74.81788945198059,0.0,0.0,2000.0,1565.0,135.0,2000.0,15.0,OK
2000,1002,ratio_x0.5,0,20.0,40.0,0.05,15.0,562986.0,70.36710548400879,0.0,0.0,2000.0,1565.0,135.0,2000.0,15.0,OK
2000,1002,ratio_x0.75,0,20.0,40.0,0.075,15.0,562986.0,67.28979873657227,0.0,0.0,2000.0,1565.0,135.0,2000.0,15.0,OK
2000,1002,ratio_x1.5,0,20.0,40.0,0.15,15.0,561895.0,72.45575833320618,0.0,0.0,2000.0,1553.0,134.0,2000.0,15.0,OK
2000,1002,ratio_x2,0,20.0,40.0,0.2,15.0,562280.0,66.77133178710938,0.0,0.0,2000.0,1544.0,136.0,2000.0,15.0,OK
2000,1002,mnoppc_x0.5,0,20.0,40.0,0.1,8.0,575698.0,60.09765839576721,0.0,0.0,2000.0,1565.0,167.0,2000.0,8.0,OK
2000,1002,mnoppc_x0.75,0,20.0,40.0,0.1,11.0,566819.0,57.49591565132141,0.0,0.0,2000.0,1565.0,152.0,2000.0,11.0,OK
2000,1002,mnoppc_x1.5,0,20.0,40.0,0.1,22.0,562457.0,83.94441628456116,0.0,0.0,2000.0,1565.0,124.0,2000.0,22.0,OK
2000,1002,mnoppc_x2,0,20.0,40.0,0.1,30.0,563104.0,74.95300817489624,0.0,0.0,2000.0,1565.0,116.0,2000.0,30.0,OK
2000,1002,corner_loose,0,10.0,20.0,0.05,8.0,575698.0,62.749472856521606,0.0,0.0,2000.0,1565.0,167.0,2000.0,8.0,OK
2000,1002,corner_tight,0,40.0,80.0,0.2,30.0,560335.0,68.99145221710205,0.0,0.0,2000.0,1544.0,118.0,2000.0,30.0,OK
2000,1002,base,1,20.0,40.0,0.1,15.0,562986.0,70.21964573860168,0.0,0.0,2000.0,1565.0,135.0,2000.0,15.0,OK
2000,1002,base,2,20.0,40.0,0.1,15.0,562986.0,82.94889640808105,0.0,0.0,2000.0,1565.0,135.0,2000.0,15.0,OK
2000,1002,base,3,20.0,40.0,0.1,15.0,562986.0,59.64879631996155,0.0,0.0,2000.0,1565.0,135.0,2000.0,15.0,OK
2000,1002,base,4,20.0,40.0,0.1,15.0,562986.0,51.58862781524658,0.0,0.0,2000.0,1565.0,135.0,2000.0,15.0,OK
2000,1003,base,0,20.0,40.0,0.1,15.0,474691.0,31.190248727798465,0.0,0.0,2000.0,3360.0,170.0,2000.0,15.0,OK
2000,1003,preproc_x0.5,0,10.0,40.0,0.1,15.0,474691.0,32.56525158882141,0.0,0.0,2000.0,3360.0,170.0,2000.0,15.0,OK
2000,1003,preproc_x0.75,0,15.0,40.0,0.1,15.0,474691.0,31.01884961128235,0.0,0.0,2000.0,3360.0,170.0,2000.0,15.0,OK
2000,1003,preproc_x1.5,0,30.0,40.0,0.1,15.0,474691.0,30.432530641555783,0.0,0.0,2000.0,3360.0,170.0,2000.0,15.0,OK
2000,1003,preproc_x2,0,40.0,40.0,0.1,15.0,474691.0,36.20704007148743,0.0,0.0,2000.0,3360.0,170.0,2000.0,15.0,OK
2000,1003,minfreq_x0.5,0,20.0,20.0,0.1,15.0,474691.0,30.776315927505493,0.0,0.0,2000.0,3360.0,170.0,2000.0,15.0,OK
2000,1003,minfreq_x0.75,0,20.0,30.0,0.1,15.0,474691.0,32.68239998817444,0.0,0.0,2000.0,3360.0,170.0,2000.0,15.0,OK
2000,1003,minfreq_x1.5,0,20.0,60.0,0.1,15.0,474691.0,30.62833261489868,0.0,0.0,2000.0,3360.0,170.0,2000.0,15.0,OK
2000,1003,minfreq_x2,0,20.0,80.0,0.1,15.0,474691.0,37.95209264755249,0.0,0.0,2000.0,3360.0,170.0,2000.0,15.0,OK
2000,1003,ratio_x0.5,0,20.0,40.0,0.05,15.0,474691.0,36.63658285140991,0.0,0.0,2000.0,3360.0,170.0,2000.0,15.0,OK
2000,1003,ratio_x0.75,0,20.0,40.0,0.075,15.0,474691.0,33.32066297531128,0.0,0.0,2000.0,3360.0,170.0,2000.0,15.0,OK
2000,1003,ratio_x1.5,0,20.0,40.0,0.15,15.0,475400.0,29.78778910636902,0.0,0.0,2000.0,3212.0,172.0,2000.0,15.0,OK
2000,1003,ratio_x2,0,20.0,40.0,0.2,15.0,481399.0,26.89237189292908,0.0,0.0,2000.0,2373.0,183.0,2000.0,15.0,OK
2000,1003,mnoppc_x0.5,0,20.0,40.0,0.1,8.0,481121.0,23.54272484779358,0.0,0.0,2000.0,3360.0,241.0,2000.0,8.0,OK
2000,1003,mnoppc_x0.75,0,20.0,40.0,0.1,11.0,477060.0,34.989184856414795,0.0,0.0,2000.0,3360.0,195.0,2000.0,11.0,OK
2000,1003,mnoppc_x1.5,0,20.0,40.0,0.1,22.0,469786.0,28.31953072547913,0.0,0.0,2000.0,3360.0,144.0,2000.0,22.0,OK
2000,1003,mnoppc_x2,0,20.0,40.0,0.1,30.0,468175.0,28.776882648468018,0.0,0.0,2000.0,3360.0,132.0,2000.0,30.0,OK
2000,1003,corner_loose,0,10.0,20.0,0.05,8.0,481121.0,23.63490390777588,0.0,0.0,2000.0,3360.0,241.0,2000.0,8.0,OK
2000,1003,corner_tight,0,40.0,80.0,0.2,30.0,475724.0,25.38244104385376,0.0,0.0,2000.0,2373.0,139.0,2000.0,30.0,OK
2000,1003,base,1,20.0,40.0,0.1,15.0,474691.0,30.77014422416687,0.0,0.0,2000.0,3360.0,170.0,2000.0,15.0,OK
2000,1003,base,2,20.0,40.0,0.1,15.0,474691.0,38.07302188873291,0.0,0.0,2000.0,3360.0,170.0,2000.0,15.0,OK
2000,1003,base,3,20.0,40.0,0.1,15.0,474691.0,30.685368537902832,0.0,0.0,2000.0,3360.0,170.0,2000.0,15.0,OK
2000,1003,base,4,20.0,40.0,0.1,15.0,474691.0,31.665457725524902,0.0,0.0,2000.0,3360.0,170.0,2000.0,15.0,OK
2000,1001,preproc_x0.5,0,10.0,40.0,0.1,15.0,415517.0,34.96463131904602,0.0,0.0,2000.0,2341.0,157.0,2000.0,15.0,OK
