rho,k,n_folds,mean_c_bar,mean_PoR,PoR_lo95,PoR_hi95,mean_G,G_lo95,G_hi95,wilcoxon_p_Vte,mean_N_train,mean_V_test,cap_broken_any,wl_broken_any
0.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2514.4,4726.6,0,22
0.0,2,5,1.0,0.01546,0.00456,0.02635,-0.0139,-0.04912,0.02132,0.625,2553.4,4778.2,0,24
0.0,3,5,1.0,0.01992,0.00528,0.03456,-0.01614,-0.03524,0.00296,0.125,2564.4,4816.2,0,22
0.0,4,5,1.0,0.02598,0.01172,0.04024,-0.02041,-0.04089,7e-05,0.125,2579.8,4825.4,0,22
0.0,6,5,1.0,0.05147,0.01915,0.0838,-0.04515,-0.0763,-0.014,0.0625,2644.2,4935.2,0,23
0.25,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2514.4,5190.2,0,22
0.25,2,5,1.0,0.01546,0.00456,0.02635,-0.00636,-0.02289,0.01017,0.4375,2553.4,5230.2,0,24
0.25,3,5,1.0,0.01992,0.00528,0.03456,-0.00519,-0.01787,0.00749,0.3125,2564.4,5229.6,0,22
0.25,4,5,1.0,0.02598,0.01172,0.04024,-0.00813,-0.02252,0.00626,0.25,2579.8,5246.4,0,22
0.25,6,5,1.0,0.05147,0.01915,0.0838,-0.02831,-0.04717,-0.00946,0.0625,2644.2,5334.8,0,23
0.5,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2514.4,5458.8,0,22
0.5,2,5,1.0,0.01546,0.00456,0.02635,-0.00013,-0.01215,0.0119,0.8125,2553.4,5479.2,0,24
0.5,3,5,1.0,0.01992,0.00528,0.03456,-0.00046,-0.01706,0.01614,0.375,2564.4,5490.0,0,22
0.5,4,5,1.0,0.02598,0.01172,0.04024,-0.00098,-0.02039,0.01843,0.625,2579.8,5495.0,0,22
0.5,6,5,1.0,0.05147,0.01915,0.0838,-0.01383,-0.02162,-0.00605,0.0625,2644.2,5540.8,0,23
1.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2514.4,5678.0,0,22
1.0,2,5,1.0,0.01546,0.00456,0.02635,0.00085,-0.01134,0.01305,0.8125,2553.4,5694.4,0,24
1.0,3,5,1.0,0.01992,0.00528,0.03456,0.00366,-0.01291,0.02022,1.0,2564.4,5684.0,0,22
1.0,4,5,1.0,0.02598,0.01172,0.04024,0.00306,-0.0167,0.02281,1.0,2579.8,5692.4,0,22
1.0,6,5,1.0,0.05147,0.01915,0.0838,-0.00527,-0.01048,-5e-05,0.0625,2644.2,5713.4,0,23
2.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2514.4,5799.0,0,22
2.0,2,5,1.0,0.01546,0.00456,0.02635,0.0038,-0.0092,0.0168,1.0,2553.4,5800.4,0,24
2.0,3,5,1.0,0.01992,0.00528,0.03456,0.00077,-0.0103,0.01185,0.375,2564.4,5810.6,0,22
2.0,4,5,1.0,0.02598,0.01172,0.04024,0.00306,-0.01168,0.01779,1.0,2579.8,5805.2,0,22
2.0,6,5,1.0,0.05147,0.01915,0.0838,-0.0036,-0.00755,0.00035,0.125,2644.2,5824.0,0,23
