rho,k,n_folds,mean_c_bar,mean_PoR,PoR_lo95,PoR_hi95,mean_G,G_lo95,G_hi95,wilcoxon_p_Vte,mean_N_train,mean_V_test,cap_broken_any,wl_broken_any
0.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2514.4,4726.6,0,22
0.0,2,5,1.0,0.01546,0.00456,0.02635,-0.0139,-0.04912,0.02132,0.625,2553.4,4778.2,0,24
0.0,3,5,1.0,0.01992,0.00528,0.03456,-0.01614,-0.03524,0.00296,0.125,2564.4,4816.2,0,22
0.0,4,5,1.0,0.02598,0.01172,0.04024,-0.02041,-0.04089,7e-05,0.125,2579.8,4825.4,0,22
0.0,6,5,1.0,0.05147,0.01915,0.0838,-0.04515,-0.0763,-0.014,0.0625,2644.2,4935.2,0,23
0.5,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2514.4,5316.6,0,22
0.5,2,5,1.0,0.01546,0.00456,0.02635,-0.00393,-0.01466,0.0068,0.4375,2553.4,5347.6,0,24
0.5,3,5,1.0,0.01992,0.00528,0.03456,0.00032,-0.01654,0.01719,0.625,2564.4,5325.6,0,22
0.5,4,5,1.0,0.02598,0.01172,0.04024,-0.00634,-0.02593,0.01324,0.625,2579.8,5357.6,0,22
0.5,6,5,1.0,0.05147,0.01915,0.0838,-0.01518,-0.03709,0.00672,0.125,2644.2,5408.8,0,23
1.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2514.4,5448.4,0,22
1.0,2,5,1.0,0.01546,0.00456,0.02635,-0.00375,-0.01062,0.00312,0.3125,2553.4,5474.6,0,24
1.0,3,5,1.0,0.01992,0.00528,0.03456,-0.00137,-0.01096,0.00823,0.75,2564.4,5459.8,0,22
1.0,4,5,1.0,0.02598,0.01172,0.04024,-0.00842,-0.02764,0.01079,0.8125,2579.8,5491.4,0,22
1.0,6,5,1.0,0.05147,0.01915,0.0838,-0.01108,-0.0283,0.00614,0.3125,2644.2,5509.2,0,23
2.0,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2514.4,5506.6,0,22
2.0,2,5,1.0,0.01546,0.00456,0.02635,-0.00073,-0.01419,0.01274,0.625,2553.4,5523.0,0,24
2.0,3,5,1.0,0.01992,0.00528,0.03456,0.00074,-0.01576,0.01725,1.0,2564.4,5510.4,0,22
2.0,4,5,1.0,0.02598,0.01172,0.04024,-0.00717,-0.024,0.00965,0.625,2579.8,5546.6,0,22
2.0,6,5,1.0,0.05147,0.01915,0.0838,-0.0109,-0.02323,0.00143,0.0625,2644.2,5574.4,0,23
