fold,arm,gamma,alpha,solver_obj,solver_bound,solver_gap,solve_time,feasible_model,c_fit_q90,V_tr,V_te,cap_broken,wl_broken_asrun,max_workload_te,Tn,viol_norm,max_ratio_norm,imbalance,X,robust_lhs_max,robust_ok,PoR_pct,G_pct,beta,T_s_train,proven_infeasible
0,gamma0,0.0,1.0,17901.0,12096.310364541525,0.3242662217450687,816.5610992908478,True,4.552088079646643,386439.0,68103.0,0.0,24.0,210.3706100795756,0.6204204011732231,24.0,42.81062603155241,47.09168863470765,0.9707020289960115,29.670371631468534,True,0.0,0.0,,,
0,gamma1,1.0,1.0,17971.0,12104.505654429568,0.3264422873279413,795.6828126907349,True,4.552088079646643,385313.0,68060.0,0.0,24.0,197.2356643356643,0.6204204011732231,24.0,43.11399802133717,47.42539782347089,0.9712086325303928,29.71089665562068,True,-0.291378458178393,0.0631396561091288,,,
0,gamma2,2.0,1.0,17954.0,12108.546681801008,0.3255794429207414,795.6344330310822,True,4.552088079646643,388310.0,68409.0,0.0,23.0,199.2772413793103,0.6204204011732231,24.0,41.60193667594945,45.7621303435444,0.9700944286036742,29.420025390801086,True,0.48416438299447,-0.4493194132417074,,,
0,gamma4,4.0,1.0,18460.0,0.0,1.0,796.2745440006256,True,4.552088079646643,390021.0,68414.0,0.0,24.0,193.48881118881127,0.6204204011732231,24.0,40.5456620018687,44.600228202055575,0.9695745579039464,29.82935949709351,True,0.9269250774378364,-0.4566612337195131,,,
0,tight1.02,,,inf,inf,,342.616361618042,False,4.552088079646643,,,,,,,,,,,,,,,1.02,13.0,
0,tight1.05,,,inf,inf,,335.8650903701782,False,4.552088079646643,,,,,,,,,,,,,,,1.05,13.0,
1,gamma0,0.0,1.0,19065.0,13451.89473636922,0.2944193686667075,784.5517258644104,True,4.343134005462523,450234.0,32313.0,0.0,22.0,88.37972027972027,0.2637469544371783,24.0,45.13408030332722,49.64748833365995,0.9721639411090284,29.487933144755253,True,0.0,0.0,,,
1,gamma1,1.0,1.0,19208.0,13456.431897887089,0.2994360736210387,787.522219657898,True,4.343134005462523,453005.0,32411.0,0.0,23.0,84.66573426573429,0.2637469544371783,24.0,46.40180432016457,51.04198475218103,0.9712116495286944,29.958009429370662,True,0.6154577397531061,-0.30328350818556,,,
1,gamma2,2.0,1.0,19371.0,13459.167713890438,0.3051898346037666,787.7991540431976,True,4.343134005462523,453891.0,32519.0,0.0,21.0,96.43216783216783,0.2637469544371783,24.0,46.554801319807126,51.21028145178784,0.9723861520750848,31.11753134335666,True,0.8122442996308586,-0.6375143131247486,,,
1,gamma4,4.0,1.0,inf,,,632.0456869602203,False,4.343134005462523,,,,,,,,,,,,,,,,,False
1,tight1.02,,,inf,inf,,332.8926842212677,False,4.343134005462523,,,,,,,,,,,,,,,1.02,13.0,
1,tight1.05,,,inf,inf,,318.67418479919434,False,4.343134005462523,,,,,,,,,,,,,,,1.05,14.0,
2,gamma0,0.0,1.0,19915.0,14147.38484833212,0.2896116069127732,785.5043301582336,True,4.258889582937576,481374.0,30925.0,0.0,20.0,85.59454545454547,0.2295553007030159,24.0,50.57686701625488,55.63455371788037,0.974219736453508,30.237062759440537,True,0.0,0.0,,,
2,gamma1,1.0,1.0,19914.0,14151.11643381938,0.2893885490700321,794.3797245025635,True,4.258889582937576,481530.0,30869.0,0.0,22.0,82.23986013986018,0.2295553007030159,24.0,48.0750691014721,52.88257601161932,0.9736636399493044,30.21676371813216,True,0.0324072342918396,0.1810832659660468,,,
2,gamma2,2.0,1.0,19802.0,14153.977762129172,0.285224837787639,794.9251878261566,True,4.258889582937576,483165.0,30906.0,0.0,22.0,88.52363636363634,0.2295553007030159,24.0,49.17044126700516,54.08748539370568,0.9744435840644672,29.997183267782507,True,0.3720599783120816,0.0614389652384801,,,
2,gamma4,4.0,1.0,inf,,,632.7040178775787,False,4.258889582937576,,,,,,,,,,,,,,,,,False
2,tight1.02,,,inf,inf,,335.44330978393555,False,4.258889582937576,,,,,,,,,,,,,,,1.02,13.0,
2,tight1.05,,,inf,inf,,333.49281907081604,False,4.258889582937576,,,,,,,,,,,,,,,1.05,13.0,
3,gamma0,0.0,1.0,20726.0,14802.697733050514,0.285790903548658,787.081520318985,True,4.387014122927727,512457.0,54465.0,0.0,22.0,150.89300699300708,0.3883729436916684,24.0,56.59101272935119,62.25011400228632,0.975982713746386,28.60729467062937,True,0.0,0.0,,,
3,gamma1,1.0,1.0,21115.0,14807.193974747886,0.2987357814469388,796.6116106510162,True,4.387014122927727,519526.0,55307.0,0.0,24.0,144.77972027972032,0.3883729436916684,24.0,54.49731667207748,59.94704833928524,0.976451189218636,29.689436221127306,True,1.3794328109480405,-1.5459469384008078,,,
3,gamma2,2.0,1.0,20969.0,14810.056759813622,0.2937165930748427,792.512647151947,True,4.387014122927727,514045.0,54517.0,0.0,23.0,153.58951048951062,0.3883729436916684,24.0,53.87328088234028,59.26060897057431,0.976448438649053,30.97254318895948,True,0.309879658195712,-0.0954741577159643,,,
3,gamma4,4.0,1.0,inf,,,632.525407075882,False,4.387014122927727,,,,,,,,,,,,,,,,,False
3,tight1.02,,,inf,inf,,379.59293508529663,False,4.387014122927727,,,,,,,,,,,,,,,1.02,13.0,
3,tight1.05,,,inf,inf,,411.396443605423,False,4.387014122927727,,,,,,,,,,,,,,,1.05,13.0,
