campaign,stage,dataset_id,catalogue_size,origin,n,arm,delta,nu,tightening,seed,rule,implementation_hash,backend,solve_mode,time_limit,case_id,solve_key,eligibility,record_source,retry_count,frozen_layout,status,scored,allocation_returned,native_status,solver_status,objective,bound,gap,bound_provenance,build_seconds,solve_seconds,peak_rss_bytes,process_status,process_elapsed,reused_solve,attempt_id,native_contradiction,scoring_error,validation_valid,model_feasible,model_feasible_exact,maximum_model_excess,minimum_required_slack,original_policy_feasible_exact,accepted_training_solution,policy_validation_valid,history_checked,actual_visit_count,joint_pass,violation_count,cap_violation_count,floor_violation_count,worst_excess_pp,worst_excess_pp_exact,positive_excess_sum,maximum_residual,borderline,mean_visits,mean_visits_exact,visit_count,historical_mean_visits,historical_visit_count,future_total_lines,future_order_count,activation_mass,activation_mass_exact,effective_nu,inactive_product_count,realized_inactive_product_count,active_product_fraction,horizon_per_product,station_novelty_count,maximum_novelty_excess,novel_support_order_count,effective_total_allowance,layout_hash,future_hash,stream_adjacency_verified,station_count,reference_joint_pass,reference_violation_count,reference_worst_excess_pp,reference_mean_visits,reference_visit_count
ho3_20260913,holdout,BERNER,21874,243151,21874,NOM,0.02,0.01,0.5,11,two_sided,4e359efde84f6c4a031409dfa814c0672c8428f08e3922860edaaee02fc13e5b,hexaly,visits,1800,c8660e8c29794d83551bb918672fd095e94f6bc9d67692a8e30ebd316bef1df9,c46d0ac6fd2d2c0ad2bb6abc124a55554e876e91b2852d543a1ff76ba68405c6,,primary_case_file,0,True,COMPLETE,True,True,HxSolutionStatus.FEASIBLE,FEASIBLE,761059,11517,0.9848671390785734,Hexaly_HxSolution.get_objective_bound(0),360.77843290008605,1805.2593119000085,3424555008,EXITED,2182.407000000123,False,primary,,,True,True,True,0.0,0.01999783306429832,True,True,True,True,761059,False,9,4,5,1.006414129863041,7572253309/7523993438,0.020673846872911107,0.010064141298630409,False,3.2660693060254182,35721/10937,71442,3.12998507100526,761059,118145,21874,0.0024038258072707265,284/118145,0.0,260,140,0.6157995794093444,1.0,11,0.010136184059494922,13721,0.48,d3d748edda820b868efa7375f72838ea97dac23122631995fd71ef85b627ac3f,8fa2115c81c34a154bcd33b042dc3d143d17bf285f2c9bf841c3688e996eeb71,True,24,True,0,0.0,3.8471244399743987,84152
ho3_20260913,holdout,BERNER,21874,243151,21874,NOM,0.02,0.01,0.5,22,two_sided,4e359efde84f6c4a031409dfa814c0672c8428f08e3922860edaaee02fc13e5b,hexaly,visits,1800,0f5ac02b7d8f01b6d0a335a83c6510515bfdb49712279871fe8feafb6f2cac02,5bc298fed2399b01b32d8c3a47c2d5d4773ccd424ed8afecc1e3185328c07403,,primary_case_file,0,True,COMPLETE,True,True,HxSolutionStatus.FEASIBLE,FEASIBLE,757351,11517,0.9847930484015998,Hexaly_HxSolution.get_objective_bound(0),365.75057059992105,1805.0717468000948,3370213376,EXITED,2187.407000000123,False,primary,,,True,True,True,0.0,0.019999403307560407,True,True,True,True,757351,False,8,4,4,0.93906469712155,7065516619/7523993438,0.02206232149029155,0.009390646971215501,False,3.256331718021395,71229/21874,71229,3.114735287948641,757351,118145,21874,0.0024038258072707265,284/118145,0.0,260,140,0.6157995794093444,1.0,11,0.015868497119760513,13721,0.48,40430ea0c2478b3345f909e934ed6c19cb66f745cdd6a7658b253121e3b5669e,8fa2115c81c34a154bcd33b042dc3d143d17bf285f2c9bf841c3688e996eeb71,True,24,True,0,0.0,3.8471244399743987,84152
ho3_20260913,holdout,BERNER,21874,243151,21874,NOM,0.02,0.01,0.5,33,two_sided,4e359efde84f6c4a031409dfa814c0672c8428f08e3922860edaaee02fc13e5b,hexaly,visits,1800,3102a858aaa276508de5b831a0b9f1dd18be8e8c68f8e7345fce6736571ed542,341697eb37682e6ff7b77358a02718e5bc9ca5e068b803286892fbeb050b96ba,,primary_case_file,0,True,COMPLETE,True,True,HxSolutionStatus.FEASIBLE,FEASIBLE,743791,11517,0.9845158115653456,Hexaly_HxSolution.get_objective_bound(0),358.42877369979396,1805.4815806001425,3424751616,EXITED,2180.155999999959,False,primary,,,True,True,True,0.0,0.019999403307560407,True,True,True,True,743791,False,6,2,4,1.1438834589531177,8606571639/7523993438,0.016328906949798962,0.011438834589531178,False,3.1724878851604643,69395/21874,69395,3.0589674728872183,743791,118145,21874,0.0024038258072707265,284/118145,0.0,260,140,0.6157995794093444,1.0,11,0.011445712255019114,13721,0.48,256809623d661e398a82fdc1c980b9a7bda55184188326a8142d44809e026645,8fa2115c81c34a154bcd33b042dc3d143d17bf285f2c9bf841c3688e996eeb71,True,24,True,0,0.0,3.8471244399743987,84152
ho3_20260913,holdout,BERNER,21874,243151,21874,TIGHT,0.02,0.01,0.5,11,two_sided,4e359efde84f6c4a031409dfa814c0672c8428f08e3922860edaaee02fc13e5b,hexaly,visits,1800,43720f1ec41dd9a8872bc3f540a22319fc13758cad0699f26d4f1a5d26198ed2,14811eda948321f5254e3d984b05e428f216a33d07e8f7f676f8c806fbf9a243,,primary_case_file,0,True,COMPLETE,True,True,HxSolutionStatus.FEASIBLE,FEASIBLE,761196,11517,0.9848698626897672,Hexaly_HxSolution.get_objective_bound(0),361.94624789990485,1805.0934112002142,3369279488,EXITED,2183.405999999959,False,primary,,,True,True,True,0.0,0.009992242998285295,True,True,True,True,761196,True,0,0,0,0.0,0,0.0,-3.385670151085531e-05,False,3.2660235896498127,71441/21874,71441,3.1305485068948924,761196,118145,21874,0.0024038258072707265,284/118145,0.0,260,140,0.6157995794093444,1.0,12,0.007651178795459231,13721,0.48,bd0f5f42e499b5853017d4eb286bb18ee07258367ceef8e817ffaf377cb78f6d,8fa2115c81c34a154bcd33b042dc3d143d17bf285f2c9bf841c3688e996eeb71,True,24,True,0,0.0,3.8471244399743987,84152
ho3_20260913,holdout,BERNER,21874,243151,21874,TIGHT,0.02,0.01,0.5,22,two_sided,4e359efde84f6c4a031409dfa814c0672c8428f08e3922860edaaee02fc13e5b,hexaly,visits,1800,9b44a2369317fd75b93216ccd3cff6970844a2a41c121d3227cab258d3296bdb,b6fdf28f835f278fc8c93338e6111d41c3f5fb90de1f5648eb0d9e64b8b530c2,,primary_case_file,0,True,COMPLETE,True,True,HxSolutionStatus.FEASIBLE,FEASIBLE,761163,11517,0.9848692067270742,Hexaly_HxSolution.get_objective_bound(0),360.07666999986395,1805.3083016998135,3424845824,EXITED,2181.6720000002533,False,primary,,,True,True,True,0.0,0.00999616860644051,True,True,True,True,761163,True,0,0,0,0.0,0,0.0,-3.385670151085531e-05,False,3.2670750662887444,35732/10937,71464,3.1304127887608932,761163,118145,21874,0.0024038258072707265,284/118145,0.0,260,140,0.6157995794093444,1.0,11,0.007745174013002641,13721,0.48,130cf2c5b6a9e9fcce29d37fc8a332df66cb75e4025cbf08fd1612a8dc7aaa42,8fa2115c81c34a154bcd33b042dc3d143d17bf285f2c9bf841c3688e996eeb71,True,24,True,0,0.0,3.8471244399743987,84152
ho3_20260913,holdout,BERNER,21874,243151,21874,TIGHT,0.02,0.01,0.5,33,two_sided,4e359efde84f6c4a031409dfa814c0672c8428f08e3922860edaaee02fc13e5b,hexaly,visits,1800,2098418b543b12c2ad70660d6631f4e89f6a805ac320a4a6cbf4699ecadb424c,a0ca4eabc20db6e9eb94596bf70637086a6a8c67f5238ad878ce3df43c986a00,,primary_case_file,0,True,COMPLETE,True,True,HxSolutionStatus.FEASIBLE,FEASIBLE,763338,11517,0.9849123193133317,Hexaly_HxSolution.get_objective_bound(0),359.18945929966867,1805.5742338001728,3394588672,EXITED,2181.030999999959,False,primary,,,True,True,True,0.0,0.009999309092964682,True,True,True,True,763338,True,0,0,0,0.0,0,0.0,-0.0001269626306657074,False,3.2761269086586817,35831/10937,71662,3.139357847592648,763338,118145,21874,0.0024038258072707265,284/118145,0.0,260,140,0.6157995794093444,1.0,11,0.006614494511471688,13721,0.48,92aa980db7144978f569849c2f487afa4474ac9023119b419df7d9add017e2ad,8fa2115c81c34a154bcd33b042dc3d143d17bf285f2c9bf841c3688e996eeb71,True,24,True,0,0.0,3.8471244399743987,84152
ho3_20260913,holdout,BERNER,21874,243151,21874,HIST+ACT,0.02,0.01,0.5,11,two_sided,4e359efde84f6c4a031409dfa814c0672c8428f08e3922860edaaee02fc13e5b,hexaly,visits,1800,2e860f825ae72ec360457d268c9ea33588ed0064905ed0d6c334547672559434,0e8f1c78145973d6cea3466d75dcb6bcaaef74468364479f13b8d08e31ca4c0c,,primary_case_file,0,True,COMPLETE,True,True,HxSolutionStatus.FEASIBLE,FEASIBLE,764951,11517,0.9849441336765361,Hexaly_HxSolution.get_objective_bound(0),474.1386677999981,1807.8467343999073,4237598720,EXITED,2299.0460000000894,False,primary,,,True,True,True,0.0,0.01999660450498819,True,True,True,True,764951,False,2,1,1,0.08116158181582933,610659209/7523993438,0.0011999850816456813,0.0008116158181582933,False,3.2780469964341226,35852/10937,71704,3.145991585475692,764951,118145,21874,0.0024038258072707265,284/118145,0.01,260,140,0.6157995794093444,1.0,1,0.0008652452113740255,13721,0.48,e0bff7588bdf4c0115ce90e640c3cb40a9d350c976fc3b2d0b1c90b9c3426092,8fa2115c81c34a154bcd33b042dc3d143d17bf285f2c9bf841c3688e996eeb71,True,24,True,0,0.0,3.8471244399743987,84152
ho3_20260913,holdout,BERNER,21874,243151,21874,HIST+ACT,0.02,0.01,0.5,22,two_sided,4e359efde84f6c4a031409dfa814c0672c8428f08e3922860edaaee02fc13e5b,hexaly,visits,1800,4467b307a8f501d90c5a5dbe1b9e7421ff1a8fb472969ce25ddf60ae4b2ce721,bf45eb9d71bdd69cb0c902d81f3513fe5ba8f344fae841ab7d2b35c76ba3a5f0,,primary_case_file,0,True,COMPLETE,True,True,HxSolutionStatus.FEASIBLE,FEASIBLE,761979,11517,0.9848854102278409,Hexaly_HxSolution.get_objective_bound(0),480.8274004999548,1807.6522253998555,4221808640,EXITED,2305.4840000001714,False,primary,,,True,True,True,0.0,0.01999660450498819,True,True,True,True,761979,False,4,2,2,0.17858442063675814,1343668009/7523993438,0.0032133595289826197,0.0017858442063675814,False,3.2388680625400017,70847/21874,70847,3.1337687280743243,761979,118145,21874,0.0024038258072707265,284/118145,0.01,260,140,0.6157995794093444,1.0,3,0.0013107546965864577,13721,0.48,3d519f5785d3a40318e4a1f7ef61e54e1d06347f50fb9384d42ef4370d931b9f,8fa2115c81c34a154bcd33b042dc3d143d17bf285f2c9bf841c3688e996eeb71,True,24,True,0,0.0,3.8471244399743987,84152
ho3_20260913,holdout,BERNER,21874,243151,21874,HIST+ACT,0.02,0.01,0.5,33,two_sided,4e359efde84f6c4a031409dfa814c0672c8428f08e3922860edaaee02fc13e5b,hexaly,visits,1800,14d9f3d6829a2f195e3e5e27ef422defcf8d1acabcba671114e56f04b30fd873,3467ee57bd750dae1d8e65d247588af3a0314e8f036ce7ff4fec5300f13ac811,,primary_case_file,0,True,COMPLETE,True,True,HxSolutionStatus.FEASIBLE,FEASIBLE,765856,11517,0.984961924957172,Hexaly_HxSolution.get_objective_bound(0),480.2133432999253,1807.5098073999397,4239884288,EXITED,2305.092999999877,False,primary,,,True,True,True,0.0,0.01999938287985204,True,True,True,True,765856,False,2,0,2,0.0685501407264784,515770809/7523993438,0.000777624532532188,0.000685501407264784,False,3.2741611045076344,71619/21874,71619,3.1497135524838473,765856,118145,21874,0.0024038258072707265,284/118145,0.01,260,140,0.6157995794093444,1.0,0,0.0,13721,0.48,76514f064417f30b6616201d59e7138f0cd06c2b5bbde7f739a0737d6aeb3314,8fa2115c81c34a154bcd33b042dc3d143d17bf285f2c9bf841c3688e996eeb71,True,24,True,0,0.0,3.8471244399743987,84152
ho3_20260913,holdout,BERNER,21874,243151,21874,HIST+ACT-T,0.02,0.01,0.5,11,two_sided,4e359efde84f6c4a031409dfa814c0672c8428f08e3922860edaaee02fc13e5b,hexaly,visits,1800,6cec2e7c136a799699d1c28910ee8d132c50959415bf2fd16e330e06a4fcb98f,c5b47efd014b9d4888efe9ea579424a1ee6c925870d5fb337080eb093c6dbcdf,,primary_case_file,0,True,COMPLETE,True,True,HxSolutionStatus.FEASIBLE,FEASIBLE,783089,11517,0.985292859432325,Hexaly_HxSolution.get_objective_bound(0),481.1364180999808,1807.7743571996689,4252590080,EXITED,2306.061999999918,False,primary,,,True,True,True,0.0,0.009993006278261244,True,True,True,True,783089,True,0,0,0,0.0,0,0.0,-4.232087688856913e-05,False,3.3507360336472525,36647/10937,73294,3.2205872071264356,783089,118145,21874,0.0024038258072707265,284/118145,0.01,260,140,0.6157995794093444,1.0,0,0.0,13721,0.48,28b0f8a453e3138eef2f43f153f1bb792bdaac63aeb002b3baa579d877aa2d35,8fa2115c81c34a154bcd33b042dc3d143d17bf285f2c9bf841c3688e996eeb71,True,24,True,0,0.0,3.8471244399743987,84152
