campaign,rule,dataset_id,catalogue_size,origin,arm,seed,trained_n,scored_n,trained_multiple,scored_multiple,same_horizon,evaluation_kind,layout_hash,future_hash,joint_pass,violation_count,cap_violation_count,floor_violation_count,worst_excess_pp,positive_excess_sum,mean_visits,visit_count,activation_mass,station_novelty_count,active_product_fraction,source_case_id
pilot_20260910b,upper_only,syn_2000sku_seed1001,2000,47345,HIST+ACT,11,2000,1000,1,1/2,False,secondary_cross_horizon,80146ed36444fda88b0ed870cbe35e8dcfa41a155f6875f195c0c8b035663e4d,f61dfba640dcfac7672cf466924dd4e58e878779392675ab9303ea2b6bd14229,False,1,,,0.14025111864114673,0.0014025111864114674,6.038,6038,0.0,2,0.9595,3c16427822556be3837005ee02e27f774b26161c364c69adda2bbbe451f7dd6a
pilot_20260910b,upper_only,syn_2000sku_seed1001,2000,47345,HIST+ACT,11,2000,4000,1,2,False,secondary_cross_horizon,80146ed36444fda88b0ed870cbe35e8dcfa41a155f6875f195c0c8b035663e4d,23ba0877754a9040c4ad5233d608b5f5cd3dc5b7f4f02731e84a60ecf56efef4,True,0,,,0.0,0.0,6.257,25028,0.0,0,0.9995,3c16427822556be3837005ee02e27f774b26161c364c69adda2bbbe451f7dd6a
pilot_20260910b,upper_only,syn_500sku_seed1001,500,16830,HIST+ACT,11,500,1000,1,2,False,secondary_cross_horizon,8afb8f7e5f4781d1bc1f4c81fa22592bb8f485308ccafea09ab4c6a1e5ad431b,291eacf15160f27e03d792ded65429f35e4655069d9276bb0f370e4ffec072c6,True,0,,,0.0,0.0,3.71,3710,0.0,0,1.0,4a1a2f15561b98859fbc8efa26f9eb8fcaaa189f6f76d4c12d9c9d676cb5bf7d
pilot_20260910b,upper_only,syn_500sku_seed1001,500,16830,HIST+ACT,11,500,250,1,1/2,False,secondary_cross_horizon,8afb8f7e5f4781d1bc1f4c81fa22592bb8f485308ccafea09ab4c6a1e5ad431b,747b6bdf0e0f0d1e1c94ad37c46261c8f741dcc968dcfdd1c02573fd4a4e2dca,False,1,,,0.28759485319364403,0.0028759485319364403,3.704,926,0.0,1,0.968,4a1a2f15561b98859fbc8efa26f9eb8fcaaa189f6f76d4c12d9c9d676cb5bf7d
pilot_20260910b,upper_only,syn_500sku_seed1001,500,16830,NOM,11,500,1000,1,2,False,secondary_cross_horizon,fe873417833395b3128f04861a9b4b12ecca28503ef3412beee9d3ef039f7744,291eacf15160f27e03d792ded65429f35e4655069d9276bb0f370e4ffec072c6,False,1,,,0.8491676473245777,0.008491676473245778,3.691,3691,0.0,2,1.0,513aba0bf3de41c1ac6926f93b46edc0a2b777c0a96c098ff2073635520f40c0
pilot_20260910b,upper_only,syn_500sku_seed1001,500,16830,NOM,11,500,250,1,1/2,False,secondary_cross_horizon,fe873417833395b3128f04861a9b4b12ecca28503ef3412beee9d3ef039f7744,747b6bdf0e0f0d1e1c94ad37c46261c8f741dcc968dcfdd1c02573fd4a4e2dca,False,2,,,1.1360797016784925,0.018663408527380312,3.648,912,0.0,3,0.968,513aba0bf3de41c1ac6926f93b46edc0a2b777c0a96c098ff2073635520f40c0
pilot_20260910b,upper_only,BERNER,21874,199403,NOM,11,21874,10937,1,1/2,False,secondary_cross_horizon,793f33bbf74cf13569be18559e20be206bf5e05ddea89400fa6b05befce024c5,729e0b9aca75dd5df26a49e645a69c4a22558bda91393b9704ddb2248ef19cee,False,7,,,2.186015744563464,0.03163840342600678,2.7113468044253453,29654,0.0024865402495189083,11,0.4546036390234982,6380c36fa39ddf40f77aaae57cfeacb526a6cf95b7d179706524b46a27dce999
pilot_20260910b,upper_only,BERNER,21874,199403,NOM,11,21874,43748,1,2,False,secondary_cross_horizon,793f33bbf74cf13569be18559e20be206bf5e05ddea89400fa6b05befce024c5,49b643fa83dcfeed9fcb72a7283a65736bff47e6677ffa68aec3cc08aa2f46f8,False,5,,,2.2618567898728883,0.03258371155585273,2.949849135960501,129050,0.006762381877400791,9,0.7487427996708421,6380c36fa39ddf40f77aaae57cfeacb526a6cf95b7d179706524b46a27dce999
pilot_20260910b,upper_only,syn_2000sku_seed1001,2000,47345,NOM,11,2000,1000,1,1/2,False,secondary_cross_horizon,945c52e05db55dc92638872b6fba18807ec9e1174a9a234cd9b0099d68ebae22,f61dfba640dcfac7672cf466924dd4e58e878779392675ab9303ea2b6bd14229,False,2,,,0.5100392581354752,0.00993747256472021,5.988,5988,0.0,8,0.9595,a7fdf73781096a100b831b543dc715bdada51c0a57e275166e408a731eae93df
pilot_20260910b,upper_only,syn_2000sku_seed1001,2000,47345,NOM,11,2000,4000,1,2,False,secondary_cross_horizon,945c52e05db55dc92638872b6fba18807ec9e1174a9a234cd9b0099d68ebae22,23ba0877754a9040c4ad5233d608b5f5cd3dc5b7f4f02731e84a60ecf56efef4,False,1,,,0.1865740678862928,0.001865740678862928,6.226,24904,0.0,11,0.9995,a7fdf73781096a100b831b543dc715bdada51c0a57e275166e408a731eae93df
