campaign,catalogue_size,horizon_multiple,arm,delta,nu,tightening,solve_mode,instances,instances_with_any_scored_cell,total_cells,total_scored_cells,instances_all_cells_joint_pass,joint_pass_instance_mean,joint_pass_instance_median,joint_pass_instances,worst_excess_pp_instance_mean,worst_excess_pp_instance_median,worst_excess_pp_instances,mean_visits_instance_mean,mean_visits_instance_median,mean_visits_instances,violation_count_instance_mean,violation_count_instance_median,violation_count_instances,activation_mass_instance_mean,activation_mass_instance_median,activation_mass_instances
ho3_20260913,21874,1,NOM,0.02,0.01,0.5,visits,1,1,3,3,0,0.0,0.0,1,1.0297874286459028,1.0297874286459028,1,3.2316296364024257,3.2316296364024257,1,7.666666666666667,7.666666666666667,1,0.0024038258072707265,0.0024038258072707265,1
ho3_20260913,21874,1,TIGHT,0.02,0.01,0.5,visits,1,1,3,3,1,1.0,1.0,1,0.0,0.0,1,3.269741854865746,3.269741854865746,1,0.0,0.0,1,0.0024038258072707265,0.0024038258072707265,1
ho3_20260913,21874,1,HIST+ACT,0.02,0.01,0.5,visits,1,1,3,3,0,0.0,0.0,1,0.10943204772635529,0.10943204772635529,1,3.2636920544939194,3.2636920544939194,1,2.6666666666666665,2.6666666666666665,1,0.0024038258072707265,0.0024038258072707265,1
ho3_20260913,21874,1,HIST+ACT-T,0.02,0.01,0.5,visits,1,1,3,3,1,1.0,1.0,1,0.0,0.0,1,3.3467739477614216,3.3467739477614216,1,0.0,0.0,1,0.0024038258072707265,0.0024038258072707265,1
pilot_20260910b,50,1,NOM,0.01,0.01,0.5,visits,1,1,1,1,0,0.0,0.0,1,2.0115350332175583,2.0115350332175583,1,3.8,3.8,1,2.0,2.0,1,0.0,0.0,1
pilot_20260910b,50,1,HIST+ACT,0.01,0.01,0.5,visits,1,0,1,0,0,,,0,,,0,,,0,,,0,,,0
pilot_20260910b,500,1,NOM,0.01,0.01,0.5,visits,1,1,1,1,0,0.0,0.0,1,1.7092364185477842,1.7092364185477842,1,3.66,3.66,1,1.0,1.0,1,0.0,0.0,1
pilot_20260910b,500,1,HIST+ACT,0.01,0.01,0.5,visits,1,1,1,1,0,0.0,0.0,1,0.8509529854140517,0.8509529854140517,1,3.706,3.706,1,1.0,1.0,1,0.0,0.0,1
pilot_20260910b,2000,1,NOM,0.01,0.01,0.5,visits,1,1,1,1,0,0.0,0.0,1,0.07251593400296673,0.07251593400296673,1,6.1295,6.1295,1,2.0,2.0,1,0.0,0.0,1
pilot_20260910b,2000,1,HIST+ACT,0.01,0.01,0.5,visits,1,1,1,1,1,1.0,1.0,1,0.0,0.0,1,6.1495,6.1495,1,0.0,0.0,1,0.0,0.0,1
