fold,arm,gamma,alpha,solver_obj,solver_bound,solver_gap,solve_time,feasible_model,c_fit_q90,V_tr,V_te,cap_broken,wl_broken_asrun,max_workload_te,Tn,viol_norm,max_ratio_norm,imbalance,X,robust_lhs_max,robust_ok,PoR_pct,G_pct,top_n,beta,proven_infeasible,gamma_i
0,gamma0,0,1.0,12481.0,,,136.214289188385,True,24.45124274789937,376320.0,124287.0,0.0,0.0,314.27552447552466,30.666037007526405,10.0,1.2011025250188592,1.3212127775207454,0.0073147464121205,962.9083916083904,True,0.0,0.0,2000,1.0,,0
0,gamma1,1,1.0,inf,0.0,,101.65656995773315,False,24.45124274789937,,,,,,,,,,,,,,,2000,1.0,False,1
0,gamma2,2,1.0,inf,0.0,,107.97493195533752,False,24.45124274789937,,,,,,,,,,,,,,,2000,1.0,False,2
0,gamma4,4,1.0,inf,0.0,,84.22140836715698,False,24.45124274789937,,,,,,,,,,,,,,,2000,1.0,False,4
0,gamma0,0,1.0,6725.0,,,129.1628189086914,True,24.45124274789937,339479.0,112812.0,0.0,0.0,333.2398601398605,33.86292000964879,7.0,1.1906114244615489,1.3096725669077036,0.0218241832570302,1072.9804195804188,True,0.0,0.0,2000,1.05,,0
0,gamma1,1,1.0,6973.0,0.0,1.0,98.66196465492249,True,24.45124274789937,341834.0,114767.0,0.0,0.0,338.1041958041962,33.86292000964879,5.0,1.3005853298133998,1.43064386279474,0.0245026005762273,1070.7670458591806,True,0.6937100674857649,-1.7329716696805304,2000,1.05,,1
0,gamma2,2,1.0,inf,0.0,,99.61138486862184,False,24.45124274789937,,,,,,,,,,,,,,,2000,1.05,False,2
0,gamma4,4,1.0,inf,0.0,,97.10357785224916,False,24.45124274789937,,,,,,,,,,,,,,,2000,1.05,False,4
0,gamma0,0,1.0,6616.0,,,130.05353689193726,True,24.45124274789937,330048.0,110426.0,0.0,0.0,383.26363636363664,36.5445403528048,3.0,1.2314082620318354,1.3545490882350188,0.0062132847938229,1184.1041958041967,True,0.0,0.0,2000,1.1,,0
0,gamma1,1,1.0,6763.0,,,133.6621389389038,True,24.45124274789937,338289.0,112651.0,0.0,0.0,377.7090909090908,36.5445403528048,2.0,1.189912719504351,1.3089039914547862,0.0021959899541339,1170.1027972027978,True,2.4969095404304826,-2.0149240215166717,2000,1.1,,1
0,gamma2,2,1.0,6796.0,0.0,1.0,102.65044283866882,True,24.45124274789937,336698.0,112917.0,0.0,0.0,389.606993006993,36.5445403528048,3.0,1.2818644292659462,1.410050872192541,0.0015266715701904,1180.319898575032,True,2.014858444832267,-2.2558093202687775,2000,1.1,,2
0,gamma4,4,1.0,inf,0.0,,90.8676416873932,False,24.45124274789937,,,,,,,,,,,,,,,2000,1.1,False,4
0,gamma0,0,1.0,6506.0,,,127.85997080802916,True,24.45124274789937,324370.0,108851.0,0.0,0.0,465.3986013986016,41.02564654153765,2.0,1.0106408022835158,1.1117048825118676,0.0022561090846215,1404.0839160839173,True,0.0,0.0,2000,1.2,,0
0,gamma1,1,1.0,6452.0,,,127.0840368270874,True,24.45124274789937,326280.0,109629.0,0.0,0.0,429.7377622377628,41.02564654153765,1.0,1.0431338220739108,1.147447204281302,0.0003029739135315,1405.7030536829984,True,0.5888337392483892,-0.7147384957418857,2000,1.2,,1
0,gamma2,2,1.0,6525.0,,,128.28750491142273,True,24.45124274789937,330669.0,110681.0,0.0,0.0,431.4797202797209,41.02564654153765,1.0,1.0604720995638068,1.1665193095201876,0.0004065046338633,1405.1875694771204,True,1.941918179856337,-1.6811972329147182,2000,1.2,,2
0,gamma4,4,1.0,6801.0,0.0,1.0,95.2754933834076,True,24.45124274789937,332568.0,111828.0,0.0,0.0,442.3916083916085,41.02564654153765,3.0,1.0253444970459606,1.1278789467505568,0.0038112948152699,1405.656246417663,True,2.5273607300305208,-2.7349312362771125,2000,1.2,,4
