fold,arm,gamma,alpha,solver_obj,solver_bound,solver_gap,solve_time,feasible_model,c_fit_q90,V_tr,V_te,cap_broken,wl_broken_asrun,max_workload_te,Tn,viol_norm,max_ratio_norm,imbalance,X,robust_lhs_max,robust_ok,PoR_pct,G_pct,beta,T_s_train,proven_infeasible
0,gamma0,0.0,1.0,17858.0,1753.0,0.9018367118378318,622.7838957309723,True,4.552088079646643,384500.0,67711.0,0.0,22.0,196.74979020979023,0.6956411522150983,24.0,36.97298715817412,40.67028587399154,0.9550123371817096,28.7189546083916,True,0.0,0.0,,,
0,gamma1,1.0,1.0,24358.0,1213.0,0.9502011659413744,630.4757883548737,True,4.552088079646643,425862.0,74926.0,0.0,24.0,203.2986206896552,0.6956411522150983,24.0,32.48301420493259,35.73131562542584,0.9573918402022829,30.166862419512164,True,10.757347204161247,-10.655580334066842,,,
0,gamma2,2.0,1.0,25773.0,1579.0,0.9387343343809412,631.5721428394318,True,4.552088079646643,431379.0,75923.0,0.0,24.0,218.61453580901855,0.6956411522150983,24.0,32.64919637344639,35.91411601079103,0.9598120902244676,32.38624549986613,True,12.19219765929779,-12.12801465049992,,,
0,gamma4,4.0,1.0,29715.0,2079.0,0.930035335689046,631.5038802623749,True,4.552088079646643,446366.0,78393.0,0.0,24.0,273.7518302387268,0.6956411522150983,24.0,35.24074450646059,38.76481895710664,0.9610524733493612,44.81518139390448,True,16.08998699609883,-15.77587098108136,,,
0,tight1.02,,,17948.0,2877.0,,622.4907569885254,True,4.552088079646643,387457.0,68397.0,0.0,23.0,209.49510489510493,0.6956411522150983,24.0,36.77433781310253,40.45177159441278,0.9587764211066528,,,0.7690507152145644,-1.0131293290602708,1.02,1.3358697370786898,
0,tight1.05,,,18197.0,1352.0,,622.4152672290802,True,4.552088079646643,385345.0,68267.0,0.0,24.0,218.45331564986736,0.6956411522150983,24.0,35.573335095589584,39.13066860514854,0.9594360815176044,,,0.2197659297789336,-0.821136890608616,1.05,1.2977020303050129,
1,gamma0,0.0,1.0,19463.0,1303.0,0.9330524585110208,625.7524836063385,True,4.343134005462523,456693.0,32522.0,0.0,20.0,88.62377622377623,0.3512787254927438,24.0,36.12235230851794,39.73458753936973,0.9579799199443588,28.013498182517523,True,0.0,0.0,,,
1,gamma1,1.0,1.0,26867.0,2017.0,0.9249264897457848,633.4466943740845,True,4.343134005462523,502387.0,35700.0,0.0,22.0,90.74615384615392,0.3512787254927438,24.0,32.631727040162886,35.89489974417917,0.9573617455102388,28.14420222447557,True,10.005408447250122,-9.77184674989238,,,
1,gamma2,2.0,1.0,28151.0,832.0,0.9704450996412206,634.6726467609406,True,4.343134005462523,509618.0,36179.0,0.0,24.0,126.7190450928382,0.3512787254927438,24.0,32.429815060977624,35.67279656707539,0.9607693107747312,40.731891973186144,True,11.588747802134035,-11.244695898161243,,,
1,gamma4,4.0,1.0,32287.0,1387.0,0.9570415337442314,634.1406869888306,True,4.343134005462523,524185.0,37259.0,0.0,23.0,89.23426573426575,0.3512787254927438,24.0,32.206279750377035,35.42690772541474,0.9574558754473294,46.09291665082176,True,14.77841788685178,-14.565524875468912,,,
