size_n,instance_seed,method,solver_seed,solver_probe,status,visits,time_s,best_found_visits,rel_rank_pct,max_workload,workload_std_dev,cap_broken,wl_broken,num_orders,num_itemsets,num_skus,num_stations,hexaly_returned_visits,hexaly_elapsed_s,hexaly_optimal_inferred
50,1001,Heuristic,-1,False,OK,9504.0,2.2021687030792236,9105.0,4.382207578253706,7414.0,1314.509855421404,0.0,1.0,2482.0,nan,50.0,5.0,,,
50,1001,SA-C,-1,False,OK,9304.0,64.42419028282166,9105.0,2.185612300933553,5350.0,545.9664458554207,0.0,0.0,2482.0,nan,50.0,5.0,,,
50,1001,GA,20240612,False,OK,9379.0,56.52503848075867,9105.0,3.009335529928611,5402.0,547.702254879419,0.0,0.0,2482.0,nan,50.0,5.0,,,
50,1001,GA,20240613,True,OK,9420.0,56.472172021865845,nan,nan,5310.0,485.4389353976461,0.0,0.0,2482.0,nan,50.0,5.0,,,
50,1001,GA,20240614,True,OK,9388.0,56.41426348686218,nan,nan,5326.0,295.638563113813,0.0,0.0,2482.0,nan,50.0,5.0,,,
50,1001,Hexaly,-1,False,OK,9105.0,121.06931376457214,9105.0,0.0,5308.0,460.6796717894116,0.0,0.0,2482.0,nan,50.0,5.0,9105.0,121.06931376457214,False
50,1002,Heuristic,-1,False,OK,5824.0,1.5216693878173828,5824.0,0.0,5385.0,1457.6333420994458,0.0,2.0,1697.0,nan,50.0,5.0,,,
50,1002,SA-C,-1,False,OK,5934.0,45.74956750869751,5824.0,1.8887362637362637,3688.0,263.1854099299579,0.0,0.0,1697.0,nan,50.0,5.0,,,
50,1002,GA,20240612,False,OK,6081.0,40.49335765838623,5824.0,4.412774725274725,3684.0,352.22515526293694,0.0,0.0,1697.0,nan,50.0,5.0,,,
50,1002,GA,20240613,True,OK,6189.0,40.55818223953247,nan,nan,3678.0,375.01594632761953,0.0,0.0,1697.0,nan,50.0,5.0,,,
50,1002,GA,20240614,True,OK,5919.0,40.47294306755066,nan,nan,3699.0,412.76744057640985,0.0,0.0,1697.0,nan,50.0,5.0,,,
50,1002,Hexaly,-1,False,OK,5891.0,119.88446998596191,5824.0,1.1504120879120878,3718.0,397.9167752181353,0.0,0.0,1697.0,nan,50.0,5.0,5891.0,119.88446998596191,False
50,1003,Heuristic,-1,False,OK,6856.0,1.5532512664794922,6540.0,4.8318042813455655,5010.0,1051.246231860072,0.0,2.0,1768.0,nan,50.0,5.0,,,
50,1003,SA-C,-1,False,OK,6635.0,47.56160020828247,6540.0,1.452599388379205,3866.0,481.76741276263175,0.0,0.0,1768.0,nan,50.0,5.0,,,
50,1003,GA,20240612,False,OK,6772.0,42.29447364807129,6540.0,3.547400611620795,3857.0,394.87598053059645,0.0,0.0,1768.0,nan,50.0,5.0,,,
50,1003,GA,20240613,True,OK,6900.0,42.686994552612305,nan,nan,3843.0,327.3210045200277,0.0,0.0,1768.0,nan,50.0,5.0,,,
50,1003,GA,20240614,True,OK,6754.0,42.12616014480591,nan,nan,3821.0,433.9403645663768,0.0,0.0,1768.0,nan,50.0,5.0,,,
50,1003,Hexaly,-1,False,OK,6540.0,120.52778053283691,6540.0,0.0,3810.0,448.1984381945123,0.0,0.0,1768.0,nan,50.0,5.0,6540.0,120.52778053283691,False
50,1004,Heuristic,-1,False,OK,6622.0,1.7263166904449463,6622.0,0.0,5638.0,1472.6196521845006,0.0,3.0,1930.0,nan,50.0,5.0,,,
50,1004,SA-C,-1,False,OK,6990.0,51.294692516326904,6622.0,5.557233464210208,4102.0,346.9020611065896,0.0,0.0,1930.0,nan,50.0,5.0,,,
50,1004,GA,20240612,False,OK,7010.0,46.34053611755371,6622.0,5.85925702204772,4111.0,357.227434556754,0.0,0.0,1930.0,nan,50.0,5.0,,,
50,1004,Hexaly,-1,False,OK,6957.0,120.81374096870422,6622.0,5.058894593778315,4141.0,365.3429074171278,0.0,0.0,1930.0,nan,50.0,5.0,6957.0,120.81374096870422,False
50,1005,Heuristic,-1,False,OK,7549.0,1.6747565269470215,7126.0,5.936008981195622,4778.0,731.1958971438503,0.0,2.0,1880.0,nan,50.0,5.0,,,
50,1005,SA-C,-1,False,OK,7177.0,50.221460580825806,7126.0,0.7156890261015998,4162.0,579.5558989433201,0.0,0.0,1880.0,nan,50.0,5.0,,,
50,1005,GA,20240612,False,OK,7471.0,44.97576308250427,7126.0,4.8414257648049395,4131.0,346.9746964837638,0.0,0.0,1880.0,nan,50.0,5.0,,,
50,1005,Hexaly,-1,False,OK,7126.0,120.3379111289978,7126.0,0.0,4160.0,592.485139054137,0.0,0.0,1880.0,nan,50.0,5.0,7126.0,120.3379111289978,False
50,1006,Heuristic,-1,False,OK,7126.0,1.599961757659912,6873.0,3.681070856976575,4849.0,938.404049437128,0.0,2.0,1814.0,nan,50.0,5.0,,,
50,1006,SA-C,-1,False,OK,6962.0,49.12794303894043,6873.0,1.2949221591735778,3949.0,412.92149374911446,0.0,0.0,1814.0,nan,50.0,5.0,,,
