fold,arm,gamma,alpha,solver_obj,solver_bound,solver_gap,solve_time,feasible_model,c_fit_q90,V_tr,V_te,cap_broken,wl_broken_asrun,max_workload_te,Tn,viol_norm,max_ratio_norm,imbalance,X,robust_lhs_max,robust_ok,PoR_pct,G_pct,proven_infeasible,beta,T_s_train
0,gamma0,0.0,0.25,43158.0,,,31.13749098777771,True,69.98687321571666,215618.0,227815.0,0.0,3.0,74685.0,50173.0,2.0,1.4885496183206106,1.6374160025432185,0.1057600605110553,45129.0,True,0.0,0.0,,,
0,gamma1,1.0,1.0,inf,30312.0,,318.3256883621216,False,69.98687321571666,,,,,,,,,,,,,,,False,,
0,gamma16,16.0,1.0,inf,inf,,28.158851385116577,False,69.98687321571666,,,,,,,,,,,,,,,True,,
0,gamma1_a0.25,1.0,0.25,45075.0,,,31.77691435813904,True,69.98687321571666,219275.0,235755.0,0.0,4.0,69767.0,50173.0,2.0,1.3905287704542284,1.529592317726889,0.086310469947272,45296.75,True,1.6960550603381908,-3.485284112108509,,,
0,gamma1_a0.5,1.0,0.5,45524.0,,,32.021178245544434,True,69.98687321571666,220162.0,235769.0,0.0,3.0,73662.0,50173.0,1.0,1.468160165826241,1.614987448340879,0.0643724718546857,45350.5,True,2.1074307339832483,-3.4914294493338893,,,
0,gamma2_a0.25,2.0,0.25,44240.0,,,31.667413473129272,True,69.98687321571666,218224.0,233451.0,0.0,3.0,70622.0,50173.0,3.0,1.407569808462719,1.5483375903006915,0.0867051072646152,45229.5322872164,True,1.2086189464701462,-2.4739371858745036,,,
0,gamma2_a0.5,2.0,0.5,64507.0,,,52.19796204566956,True,69.98687321571666,256869.0,280528.0,0.0,4.0,57150.0,50173.0,3.0,1.1390588563570048,1.252973482564704,0.0309625861898863,45364.0,True,19.131519631941675,-23.13851151153348,,,
0,gamma4,4.0,1.0,inf,inf,,40.99044704437256,False,69.98687321571666,,,,,,,,,,,,,,,True,,
0,gamma4_a0.25,4.0,0.25,44566.0,,,27.680311679840088,True,69.98687321571666,219984.0,232114.0,0.0,4.0,71711.0,50173.0,3.0,1.4292747095051124,1.5722131479999562,0.0941484055556164,45348.54314966053,True,2.0248773293509816,-1.8870574808506904,,,
0,gamma4_a0.5,4.0,0.5,inf,30312.0,,450.9062485694885,False,69.98687321571666,,,,,,,,,,,,,,,False,,
