n_days,days_violated,station_days_over,worst_day_ratio,mean_daily_ratio,stations_over,fold,z,arm,train_beta,role,lhat_source
38,2,2,1.250333619801323,0.8821599213336867,2,0,4.0,incumbent,1.0,train,harness
5,0,0,0.9691648765638525,0.8919874073776898,0,0,4.0,incumbent,1.0,test,harness
38,0,0,0.9803541787966901,0.9431279745863551,0,0,4.0,b1.02,1.02,train,harness
5,1,1,1.0705531164913942,0.9856680347351261,1,0,4.0,b1.02,1.02,test,harness
38,0,0,0.9521593610029159,0.9255675092790154,0,0,4.0,b1.05,1.05,train,harness
5,1,1,1.0049670360906002,0.9659439889747914,1,0,4.0,b1.05,1.05,test,harness
38,0,0,0.9997940657129093,0.9691357690196627,0,0,4.0,g0,1.0,train,harness
5,3,4,1.1234232582489836,1.0237981905052234,3,0,4.0,g0,1.0,test,harness
38,0,0,0.8989002089547591,0.8622585622380183,0,0,4.0,g1,1.0,train,harness
5,1,1,1.007429467406932,0.9551016630512057,1,0,4.0,g1,1.0,test,harness
38,0,0,0.8914657149716616,0.8549754682412736,0,0,4.0,g2,1.0,train,harness
5,0,0,0.9912523466768459,0.9205302732194888,0,0,4.0,g2,1.0,test,harness
38,0,0,0.9109431620129027,0.8638993263698778,0,0,4.0,g4,1.0,train,harness
5,1,1,1.022972127633212,0.9436960837891112,1,0,4.0,g4,1.0,test,harness
43,2,2,1.318269540157184,0.8858719453847912,2,1,4.0,incumbent,1.0,train,harness
4,1,2,1.165093181343759,0.9294913428866853,2,1,4.0,incumbent,1.0,test,harness
43,0,0,0.9800537097160191,0.9398847994741961,0,1,4.0,b1.02,1.02,train,harness
4,1,1,1.0844265586631405,0.9812797419072412,1,1,4.0,b1.02,1.02,test,harness
43,0,0,0.9522934605062933,0.9230842269311335,0,1,4.0,b1.05,1.05,train,harness
4,1,1,1.1270061476191255,1.0012991766140278,1,1,4.0,b1.05,1.05,test,harness
43,0,0,0.9993540066733623,0.9617722561462845,0,1,4.0,g0,1.0,train,harness
4,3,4,1.2857769749082035,1.0820878276854073,4,1,4.0,g0,1.0,test,harness
43,0,0,0.9240257004640466,0.8662238572751902,0,1,4.0,g1,1.0,train,harness
4,1,1,1.0902559471532844,0.9591066030230896,1,1,4.0,g1,1.0,test,harness
43,0,0,0.917234214442746,0.8571379874046525,0,1,4.0,g2,1.0,train,harness
4,1,1,1.12263128837214,0.9465472642312278,1,1,4.0,g2,1.0,test,harness
43,0,0,0.9060408583675629,0.8676303512189212,0,1,4.0,g4,1.0,train,harness
4,1,1,1.0075799849617944,0.9327762343520527,1,1,4.0,g4,1.0,test,harness
47,3,3,1.367530849775525,0.889364314443004,3,2,4.0,incumbent,1.0,train,harness
4,1,1,1.074949188971632,0.9402075364379758,1,2,4.0,incumbent,1.0,test,harness
47,0,0,0.9779291104055576,0.9287932897689636,0,2,4.0,b1.02,1.02,train,harness
4,1,3,1.182325109405267,1.0160995555744547,3,2,4.0,b1.02,1.02,test,harness
47,0,0,0.9522946433828583,0.9130671648399813,0,2,4.0,b1.05,1.05,train,harness
4,1,3,1.0416308897056838,0.96640643583674,3,2,4.0,b1.05,1.05,test,harness
47,0,0,0.9992638335333608,0.9501953791251885,0,2,4.0,g0,1.0,train,harness
4,1,3,1.2068321426159303,1.0423179479710551,3,2,4.0,g0,1.0,test,harness
47,0,0,0.9221961101170669,0.8661375914922849,0,2,4.0,g1,1.0,train,harness
4,1,1,1.3673024028663485,1.0079704033108874,1,2,4.0,g1,1.0,test,harness
47,0,0,0.9160645530795917,0.8633613527400061,0,2,4.0,g2,1.0,train,harness
4,0,0,0.9726434225231754,0.9253962100135275,0,2,4.0,g2,1.0,test,harness
47,0,0,0.9098525485758204,0.854741407162349,0,2,4.0,g4,1.0,train,harness
4,1,2,1.1536606329946677,0.9416155622220485,2,2,4.0,g4,1.0,test,harness
51,3,3,1.4141357472693432,0.8880881285611312,3,3,4.0,incumbent,1.0,train,harness
5,0,0,0.9343632378559523,0.8731516290859076,0,3,4.0,incumbent,1.0,test,harness
51,0,0,0.9803182811743324,0.9394266044487892,0,3,4.0,b1.02,1.02,train,harness
5,1,1,1.0072070645368665,0.9537630385074631,1,3,4.0,b1.02,1.02,test,harness
51,0,0,0.9519258987433572,0.9214852695759882,0,3,4.0,b1.05,1.05,train,harness
5,0,0,0.9897653305115026,0.9605073206178727,0,3,4.0,b1.05,1.05,test,harness
51,0,0,0.9999582406614549,0.9533938307262461,0,3,4.0,g0,1.0,train,harness
5,1,1,1.0136516810417175,0.9713647716295599,1,3,4.0,g0,1.0,test,harness
51,0,0,0.9291164361012301,0.8778314023053713,0,3,4.0,g1,1.0,train,harness
5,0,0,0.9783417702311561,0.9139954837922708,0,3,4.0,g1,1.0,test,harness
51,0,0,0.9091150034969164,0.8618059615376282,0,3,4.0,g2,1.0,train,harness
5,0,0,0.9109473888145437,0.8749613131938812,0,3,4.0,g2,1.0,test,harness
51,0,0,0.9303894482542592,0.8687027235806458,0,3,4.0,g4,1.0,train,harness
5,0,0,0.9457678192131267,0.9020420698981146,0,3,4.0,g4,1.0,test,harness
