n_days,days_violated,station_days_over,worst_day_ratio,mean_daily_ratio,stations_over,fold,z,arm,train_beta,role,lhat_source
38,8,9,1.5627747590574326,0.9573289904246532,9,0,3.0,incumbent,1.0,train,harness
5,2,2,1.0344385490618957,0.9598540870389408,2,0,3.0,incumbent,1.0,test,harness
38,0,0,0.9797617283120679,0.95772826349664,0,0,3.0,b1.02,1.02,train,harness
5,2,2,1.0557305782494752,0.9981357092194191,2,0,3.0,b1.02,1.02,test,harness
38,0,0,0.9523270186211472,0.9314236567087673,0,0,3.0,b1.05,1.05,train,harness
5,2,3,1.0838616600404472,0.9998393013848439,2,0,3.0,b1.05,1.05,test,harness
38,0,0,0.9995294611102247,0.9744507056746162,0,0,3.0,g0,1.0,train,harness
5,3,4,1.0966281941761353,1.0282228418662807,3,0,3.0,g0,1.0,test,harness
38,0,0,0.9254908858081656,0.8888108348899295,0,0,3.0,g1,1.0,train,harness
5,1,1,1.3762416652802925,1.0116655945566535,1,0,3.0,g1,1.0,test,harness
38,0,0,0.9295900240878776,0.8893438195475217,0,0,3.0,g2,1.0,train,harness
5,2,2,1.1067880065280657,0.9896349708065463,2,0,3.0,g2,1.0,test,harness
38,0,0,0.9384481540692862,0.8960131409161399,0,0,3.0,g4,1.0,train,harness
5,1,2,1.070690259874651,0.9863554520016871,2,0,3.0,g4,1.0,test,harness
43,8,9,1.6465161338340735,0.9602202248766911,9,1,3.0,incumbent,1.0,train,harness
4,1,2,1.249008426304522,0.9986704028028577,2,1,3.0,incumbent,1.0,test,harness
43,0,0,0.9801976476255011,0.9566067008263079,0,1,3.0,b1.02,1.02,train,harness
4,3,5,2.263721327265494,1.3169973479029444,4,1,3.0,b1.02,1.02,test,harness
43,0,0,0.9522545963122608,0.9316144373193758,0,1,3.0,b1.05,1.05,train,harness
4,2,2,1.054992059015872,0.9983455594705682,2,1,3.0,b1.05,1.05,test,harness
43,0,0,0.9993265422533141,0.9690171576763327,0,1,3.0,g0,1.0,train,harness
4,4,6,1.190968901685024,1.1046826178822464,4,1,3.0,g0,1.0,test,harness
43,0,0,0.9337039378557205,0.8919812620099008,0,1,3.0,g1,1.0,train,harness
4,1,1,1.2180838710452628,0.9989636579985282,1,1,3.0,g1,1.0,test,harness
43,0,0,0.9182864054914277,0.8860808534132976,0,1,3.0,g2,1.0,train,harness
4,1,1,1.31484265591093,1.0251854193415777,1,1,3.0,g2,1.0,test,harness
43,0,0,0.9321146809078639,0.8892289550055233,0,1,3.0,g4,1.0,train,harness
4,1,1,1.1108573357931895,0.9532463081920461,1,1,3.0,g4,1.0,test,harness
47,9,11,1.7084874279995101,0.9631729574899934,11,2,3.0,incumbent,1.0,train,harness
4,2,2,1.1714296054800937,1.0227157752396316,2,2,3.0,incumbent,1.0,test,harness
47,0,0,0.9795983571357599,0.9475677118913289,0,2,3.0,b1.02,1.02,train,harness
4,1,4,1.3665235206663249,1.07038556913579,4,2,3.0,b1.02,1.02,test,harness
47,0,0,0.9522057487473522,0.9308248123651415,0,2,3.0,b1.05,1.05,train,harness
4,2,6,1.121390947746376,1.0293367564772151,5,2,3.0,b1.05,1.05,test,harness
47,0,0,0.9998602901857713,0.9730531262837712,0,2,3.0,g0,1.0,train,harness
4,2,5,1.3350081110442507,1.0889821089941405,5,2,3.0,g0,1.0,test,harness
47,0,0,0.928736081929807,0.8850373197311219,0,2,3.0,g1,1.0,train,harness
4,1,3,1.4691888915679447,1.0616492048039945,3,2,3.0,g1,1.0,test,harness
47,0,0,0.9386324871326773,0.8915427254218626,0,2,3.0,g2,1.0,train,harness
4,1,1,1.2913799136665085,1.030150364220814,1,2,3.0,g2,1.0,test,harness
51,10,11,1.7672439501027402,0.9632624282953216,10,3,3.0,incumbent,1.0,train,harness
5,1,1,1.0045009710751454,0.9426521544310887,1,3,3.0,incumbent,1.0,test,harness
51,0,0,0.9800053703775364,0.9567057212771607,0,3,3.0,b1.02,1.02,train,harness
5,2,2,1.0557038043683822,0.9861671891987538,1,3,3.0,b1.02,1.02,test,harness
51,0,0,0.9520579418207635,0.9324104530184447,0,3,3.0,b1.05,1.05,train,harness
5,1,1,1.0493503658704117,0.970798083046677,1,3,3.0,b1.05,1.05,test,harness
51,0,0,0.9999900573839855,0.9631589086776826,0,3,3.0,g0,1.0,train,harness
5,1,1,1.0491314181450115,0.9859617319215259,1,3,3.0,g0,1.0,test,harness
51,0,0,0.935028975807673,0.8919836512441975,0,3,3.0,g1,1.0,train,harness
5,0,0,0.9767077375219854,0.9212097568762448,0,3,3.0,g1,1.0,test,harness
51,0,0,0.9462707591384851,0.898214864815924,0,3,3.0,g2,1.0,train,harness
5,0,0,0.9699278620177434,0.9335541358591651,0,3,3.0,g2,1.0,test,harness
